People's Republic of China (CN),0,,buyer country,,,"Hong Kong, Macao and Taiwan investment enterprises",0,,Sino-foreign joint venture,0,,Seller Category C,,,,,Foreign-owned,Domestic-funded enterprises,Joint venture,Hong Kong and Taiwan investment companies,,,,,Seller ownership,,,,,,Intellectual Property A,,,,,Domestic patent,technical secrets,No intellectual property rights,,Technical Services,0,Contract type A,,,,,technology development,Consulting and services,technology transfer,intellectual property transactions,,Installment payment,1,,payment method,,,Seller name,,,Seller name,,,Buyer name,,,Buyer name,,,"Hong Kong, Macao and Taiwan investment enterprises",1,,Buyer Category B,,,buyer country,,,buyer country,,,Seller Category C,,,Seller Category C,,,Seller ownership,,,Seller ownership,,,Intellectual Property A,,,Intellectual Property A,,,Contract type A,,,Contract type A,,,payment method,,,payment method,
Singapore(SG),1,,People's Republic of China (CN),0,,Chinese nationals,1,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,One time payment,0,,"Beijing Daoda Technology Co., Ltd. bjh",11,,"Beijing Bosike Space Information Technology Co., Ltd.",7,,Xi'an University of Electronic Science and Technology,3,,Wuhan University,3,,Chinese nationals,6,,institutions of higher learning,2,,Netherlands(NL),1,,People's Republic of China (CN),0,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,One time payment,2
Poland(PL),1,,People's Republic of China (CN),0,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,One time payment,0,,"Beijing Chuanshi Digital Technology Co., Ltd. bjj",12,,"Beijing Bosike Space Information Technology Co., Ltd.",7,,University of Science and Technology Beijing,3,,Northeast Normal University,3,,,3,,institutions of higher learning,2,,Singapore(SG),0,,People's Republic of China (CN),0,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,One time payment,2
France(FR),1,,People's Republic of China (CN),0,,self-employed,1,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Water, environment and public facilities management",0,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,technology development,1,,,,1,0,0,1,,,,,One time payment,0,,"Beijing Texel Software Co., Ltd.",13,,"Beijing Taihao Intelligent Technology Co., Ltd.",8,,Beijing Normal University,3,,Jiangxi Electric Power Research Institute,3,,self-employed,6,,institutions of higher learning,2,,Poland(PL),1,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Water, environment and public facilities management",2,,,,,No intellectual property rights involved,2,,,,,technology development,2,,,,,One time payment,2
Canada(CA),1,,People's Republic of China (CN),0,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,One time payment,0,,"Beijing Texel Software Co., Ltd.bbq",14,,"Beijing Bosike Space Information Technology Co., Ltd.",7,,National Disaster Reduction Center of the Ministry of Civil Affairs,3,,Xi'an University of Electronic Science and Technology,3,,,,,institutions of higher learning,2,,France(FR),1,,People's Republic of China (CN),0,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,One time payment,2
Czech Republic(CZ),1,,People's Republic of China (CN),0,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Beijing Siwei Hengtong Technology Development Co., Ltd. bjj",15,,"Beijing Bosike Space Information Technology Co., Ltd.",7,,"Pasco Systems Division, Co., Ltd.",2,,University of Science and Technology Beijing,3,,,,,institutions of higher learning,2,,Canada(CA),1,,People's Republic of China (CN),0,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Silicon Valley Analog Semiconductor (Beijing) Co., Ltd.",16,,"Beijing Bosike Space Information Technology Co., Ltd.",7,,"Bosco Co., Ltd.",2,,Beijing Normal University,3,,,,,institutions of higher learning,2,,Czech Republic(CZ),1,,People's Republic of China (CN),0,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,"International Business Machines (China) Investment Co., Ltd.",17,,"Beijing Bosike Space Information Technology Co., Ltd.",7,,"Tokyo Digital Map Co., Ltd.",2,,Beijing Normal University,3,,,,,institutions of higher learning,2,,,,,People's Republic of China (CN),0,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Internet Times (Beijing) Technology Co., Ltd.",18,,"Beijing Bosike Space Information Technology Co., Ltd.",7,,"PASCO Co., Ltd. Strategic Planning Department",2,,Beijing Normal University,3,,,,,institutions of higher learning,2,,,,,People's Republic of China (CN),0,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,"Beijing Sohu New Media Information Technology Co., Ltd.",19,,"Beijing Bosike Space Information Technology Co., Ltd.",7,,"Pasco Research and Development Center Co., Ltd.",2,,National Disaster Reduction Center of the Ministry of Civil Affairs,3,,,,,national administrative agencies,2,,,,,People's Republic of China (CN),0,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,Installment payment,1
,,,Japan(JP),1,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,One time payment,0,,"Beijing Soufun Network Technology Co., Ltd.",20,,"Beijing Bosike Space Information Technology Co., Ltd.",7,,"DeNA Co., Ltd.",2,,"Pasco Systems Division, Co., Ltd.",2,,,,,Overseas enterprises,3,,,,,Japan(JP),1,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,One time payment,2
,,,Japan(JP),1,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,technology development,1,,,,1,0,0,1,,,,,One time payment,0,,"Beijing Dewang Hi-tech Systems Co., Ltd.",21,,"Beijing Bosike Space Information Technology Co., Ltd.",7,,3D Data conversion tool technology development,2,,"Bosco Co., Ltd.",2,,,,,Overseas enterprises,3,,,,,Japan(JP),1,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,technology development,2,,,,,One time payment,2
,,,Japan(JP),1,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Beijing Telit Technology Development Co., Ltd.",22,,"Beijing Bosike Space Information Technology Co., Ltd.",7,,"PASCO Co., Ltd. Disaster Prevention Technology Department",2,,"Tokyo Digital Map Co., Ltd.",2,,,,,Overseas enterprises,3,,,,,Japan(JP),1,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,technology development,2,,,,,Installment payment,1
,,,Japan(JP),1,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,One time payment,0,,"Beijing Four-Dimensional Space-Time Technology Co., Ltd.",23,,"Beijing Bosike Space Information Technology Co., Ltd.",7,,Bosco Technology General Headquarters Remote Sensing Technology Department,2,,"Pasco Systems Division, Co., Ltd.",2,,,,,Overseas enterprises,3,,,,,Japan(JP),1,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,One time payment,2
,,,Japan(JP),1,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,One time payment,0,,"Beijing Cain Technology Co., Ltd.",24,,"Beijing Bosike Space Information Technology Co., Ltd.",7,,"PASCO Co., Ltd. International Strategy Office",2,,"PASCO Co., Ltd. Strategic Planning Department",2,,,,,Overseas enterprises,3,,,,,Japan(JP),1,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,One time payment,2
,,,Japan(JP),1,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Beijing Delphi Technology Development Co., Ltd.",25,,"Beijing Bosike Space Information Technology Co., Ltd.",7,,"GameHub Incorporated(Game Hub Co., Ltd.)",2,,"Pasco Research and Development Center Co., Ltd.",2,,,,,Overseas enterprises,3,,,,,Japan(JP),1,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,Japan(JP),1,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,technical secrets,0,,,,0,1,0,,,,technology transfer,1,,,,0,0,1,1,,,,,One time payment,0,,"Beijing Chelingtong Technology Development Co., Ltd.",26,,"Beijing Dena Network Technology Co., Ltd.",9,,Hinge Global Resources Inc.,2,,"DeNA Co., Ltd.",2,,,,,Overseas enterprises,3,,,,,Japan(JP),1,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,technical secrets,3,,,,,technology transfer,3,,,,,One time payment,2
,,,Japan(JP),1,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,One time payment,0,,"Hanzhu Technology (Beijing) Co., Ltd.",27,,"Beijing Bosike Space Information Technology Co., Ltd.",7,,"Double Bridge Technologies,Inc.",2,,3D Data conversion tool technology development,2,,,,,Overseas enterprises,3,,,,,Japan(JP),1,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,One time payment,2
,,,Japan(JP),1,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,technology development,1,,,,1,0,0,1,,,,,One time payment,0,,"Beijing Chuangxun Information Technology Co., Ltd.",28,,"Beijing Bosike Space Information Technology Co., Ltd.",7,,"NeuLion, Inc.",2,,"Bosco Co., Ltd.",2,,,,,Overseas enterprises,3,,,,,Japan(JP),1,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,technology development,2,,,,,One time payment,2
,,,Japan(JP),1,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Beijing Tacomek Electronic Technology Co., Ltd.",29,,"Beijing Bosike Space Information Technology Co., Ltd.",7,,TechExcel,2,,"PASCO System Division, Co., Ltd.",,,,,,Overseas enterprises,3,,,,,Japan(JP),1,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,Myanmar(MM),1,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Beijing Changxun Information Technology Co., Ltd.",30,,"Beijing Bosike Space Information Technology Co., Ltd.",7,,JOHNSON SECURITY LTD,2,,"PASCO Co., Ltd. Disaster Prevention Technology Department",2,,,,,Overseas enterprises,3,,,,,Myanmar(MM),0,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,Japan(JP),1,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Beijing Dahua Zhongji Technology Development Co., Ltd. bjj",31,,"Beijing Bosike Space Information Technology Co., Ltd.",7,,Analogix International,2,,Bosco Technology General Headquarters Remote Sensing Technology Department,2,,,,,Overseas enterprises,3,,,,,Japan(JP),1,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,technology development,2,,,,,Installment payment,1
,,,Japan(JP),1,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Beijing Chuangshi Wuxian Information Technology Co., Ltd.",32,,"Beijing Bosike Space Information Technology Co., Ltd.",7,,"Analogix International, Inc",2,,"PASCO Research and Development Center Co., Ltd.",2,,,,,Overseas enterprises,3,,,,,Japan(JP),1,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,Japan(JP),1,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,technology development,1,,,,1,0,0,1,,,,,One time payment,0,,"Lianzhong Digital Entertainment Technology (Beijing) Co., Ltd.",33,,"Beijing Bosike Space Information Technology Co., Ltd.",7,,"NeuLion, Inc. (New Poetry Co., Ltd.)",2,,"Tokyo Digital Map Co., Ltd.",2,,,,,Overseas enterprises,3,,,,,Japan(JP),1,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,technology development,2,,,,,One time payment,2
,,,Japan(JP),1,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Beijing Sostek Coal Gasification Technology Co., Ltd.a",34,,"Beijing Bosike Space Information Technology Co., Ltd.",7,,"TechExcel, Inc. (Texel Corporation of the United States)",2,,"PASCO Co., Ltd. International Strategy Office",2,,,,,Overseas enterprises,3,,,,,Japan(JP),1,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,Europe Others,1,,,,,,,,"Foreign Investment Co., Ltd.",0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Lenovo Computer Systems Technology Services Co., Ltd.",35,,"Beijing Botianyi Technology Co., Ltd.",10,,"TechExcel, Inc. (Texel Corporation of the United States)",2,,"GameHub Incorporated(Game Hub Co., Ltd.)",2,,,,,Overseas enterprises,3,,,,,Europe Others,0,,,,,"Foreign Investment Co., Ltd.",3,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,United States(US),1,,,,,,,,"Foreign Investment Co., Ltd.",0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Beijing Chuangli Century Software Co., Ltd.",36,,"Beijing Daoda Technology Co., Ltd. bjh",11,,Analogex International,2,,Hinge Global Resources Inc.,2,,,,,Overseas enterprises,3,,,,,United States(US),1,,,,,"Foreign Investment Co., Ltd.",3,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,United States(US),1,,,,,,,,"Foreign Investment Co., Ltd.",0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Beijing Dazhan Xieli Information Technology Co., Ltd. chg",37,,"Beijing Daoda Technology Co., Ltd. bjh",11,,International Business Machines Corporation,2,,"Double Bridge Technologies,Inc.",2,,,,,Overseas enterprises,3,,,,,United States(US),1,,,,,"Foreign Investment Co., Ltd.",3,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,United Kingdom(GB),1,,,,,,,,"Foreign Investment Co., Ltd.",0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Beijing Dashouhanzi Computer Systems Co., Ltd.",38,,"Beijing Daoda Technology Co., Ltd. bjh",11,,Guangxi Zhuang Autonomous Region Remote Sensing Center,3,,Hinge Global Resources Inc.,2,,,,,Overseas enterprises,3,,,,,United Kingdom(GB),1,,,,,"Foreign Investment Co., Ltd.",3,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
