Column 1,Column 2,Column 3,,,,,,,,,,,,,,,
"Beijing Texel Software Co., Ltd.",0,0,0,0,0,2,2,0,0,0,0,4,Sino-foreign joint venture,"Information transmission, computer services and software industry",,,
"Beijing Texel Software Co., Ltd.bbq",0,0,0,0,0,1,0,0,1,1,1,4,Sino-foreign joint venture,"Information transmission, computer services and software industry",,,
"Beijing Siwei Hengtong Technology Development Co., Ltd. bjj",0,0,0,0,0,0,1,1,0,0,0,2,Sino-foreign joint venture,manufacturing,,,
"Silicon Valley Analog Semiconductor (Beijing) Co., Ltd.",0,0,0,0,0,1,4,4,4,5,2,20,"Foreign Investment Co., Ltd.",manufacturing,,,
"International Business Machines (China) Investment Co., Ltd.",0,0,0,0,1,2,2,2,0,2,0,9,Foreign companies,manufacturing,,,
"Internet Times (Beijing) Technology Co., Ltd.",0,0,0,0,0,73,96,73,26,52,0,320,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,,
"Beijing Sohu New Media Information Technology Co., Ltd.",0,0,0,0,0,0,1,0,0,1,0,2,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,,
"Beijing Soufun Network Technology Co., Ltd.",0,0,0,0,0,0,0,0,52,20,0,72,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,,
"Beijing Dewang Hi-tech Systems Co., Ltd.",0,0,0,0,0,0,0,1,2,1,0,4,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,,
"Beijing Telit Technology Development Co., Ltd.",0,0,0,0,0,0,5,0,6,0,0,11,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,,
"Beijing Four-Dimensional Space-Time Technology Co., Ltd.",0,0,0,0,1,0,0,0,0,0,0,1,Sino-foreign joint venture,"Information transmission, computer services and software industry",,,
"Beijing Cain Technology Co., Ltd.",0,0,0,0,0,2,0,0,0,0,0,2,Foreign companies,"Information transmission, computer services and software industry",,,
"Beijing Delphi Technology Development Co., Ltd.",0,0,0,0,0,0,0,0,8,0,3,11,Foreign companies,"Transportation, warehousing and postal services",,,
"Beijing Chelingtong Technology Development Co., Ltd.",0,0,0,0,0,0,0,2,2,0,0,4,Sino-foreign joint venture,"Information transmission, computer services and software industry",,,
"Hanzhu Technology (Beijing) Co., Ltd.",0,0,0,0,0,0,0,5,17,19,4,45,Foreign companies,"Information transmission, computer services and software industry",,,
"Beijing Chuangxun Information Technology Co., Ltd.",0,0,0,0,0,0,1,0,0,0,0,1,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,,
"Beijing Tacomek Electronic Technology Co., Ltd.",0,0,0,0,0,0,0,0,0,1,0,1,Sino-foreign joint venture,"Information transmission, computer services and software industry",,,
"Beijing Changxun Information Technology Co., Ltd.",0,0,0,0,0,2,0,1,0,0,1,4,Sino-foreign joint venture,"Information transmission, computer services and software industry",,,
"Beijing Dahua Zhongji Technology Development Co., Ltd. bjj",0,0,0,0,0,0,0,0,1,0,0,1,Sino-foreign cooperative enterprises,"Scientific research, technical services and geological exploration industry",,,
"Beijing Chuangshi Wuxian Information Technology Co., Ltd.",0,0,0,0,0,0,0,1,0,0,0,1,Sino-foreign joint venture,"Information transmission, computer services and software industry",,,
"Lianzhong Digital Entertainment Technology (Beijing) Co., Ltd.",0,0,0,0,0,0,4,0,0,0,0,4,"Foreign Investment Co., Ltd.","Culture, Sports and Entertainment Industry",,,
"Beijing Sostek Coal Gasification Technology Co., Ltd.a",0,0,0,0,0,3,0,0,0,0,0,3,Sino-foreign joint venture,"Electricity, gas and water production and supply industry",,,
"Lenovo Computer Systems Technology Services Co., Ltd.",0,0,0,0,0,1,0,0,0,0,0,1,Sino-foreign joint venture,"Information transmission, computer services and software industry",,,
"Beijing Chuangli Century Software Co., Ltd.",0,0,0,0,0,3,0,0,0,0,0,3,Sino-foreign joint venture,"Information transmission, computer services and software industry",,,
"Beijing Dazhan Xieli Information Technology Co., Ltd. chg",0,0,0,0,0,0,0,0,0,1,1,2,Foreign companies,"Information transmission, computer services and software industry",,,
"Beijing Dashouhanzi Computer Systems Co., Ltd.",0,0,0,0,0,0,1,0,1,0,0,2,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,,
"Lingxiang Creative Software (Beijing) Co., Ltd.bbq",0,0,0,0,0,0,0,0,0,1,1,2,Foreign companies,"Information transmission, computer services and software industry",,,
"Quantum Hi-Tech (Beijing) Research Institute Co., Ltd. bjj",0,0,0,0,0,0,1,0,0,0,0,1,Sino-foreign joint venture,"Health, social security and social welfare industries",,,
"Haomen (China) Network Technology Co., Ltd.",0,0,0,0,0,0,0,0,0,3,0,3,Foreign companies,"Information transmission, computer services and software industry",,,
"Nokia (China) Investment Co., Ltd.",0,0,0,1,1,0,0,0,0,0,0,2,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,,
"Microsoft (China) Co., Ltd. bjj",0,0,0,0,0,1,0,0,0,0,0,1,Foreign companies,"Information transmission, computer services and software industry",,,
"Lucent Technologies (China) Co., Ltd. bjj",0,0,0,0,2,1,0,0,0,0,0,3,Foreign companies,"Information transmission, computer services and software industry",,,
"Beijing Procter & Gamble Technology Co., Ltd. bjj",0,0,0,2,0,0,0,0,0,0,0,2,Foreign companies,manufacturing,,,
"Lucent Technologies (China) Co., Ltd.",1,1,0,0,0,0,0,0,0,0,0,2,Foreign companies,"Information transmission, computer services and software industry",,,
"LG Electronics (China) Research and Development Center Co., Ltd.",0,0,2,3,2,0,0,0,0,0,0,7,Foreign companies,"Information transmission, computer services and software industry",,,
"Beijing Samsung Communication Technology Research Co., Ltd.",2,1,0,1,1,2,0,0,0,0,0,7,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,,
"LG Electronics (China) Research and Development Center Co., Ltd.",0,0,0,0,0,3,0,0,0,0,0,3,Foreign companies,"Information transmission, computer services and software industry",,,
"Ericsson (China) Co., Ltd.",0,0,0,10,10,12,0,0,0,0,0,32,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,,
"Motorola (China) Technologies Co., Ltd.",0,0,0,1,0,0,0,0,0,0,0,1,Foreign companies,"Information transmission, computer services and software industry",,,
"Siemens (China) Co., Ltd. Beijing Mobile Communications Network R&D Branch",0,0,0,0,1,1,0,0,0,0,0,2,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,,
"Nokia China Investment Co., Ltd.",1,0,0,0,0,0,0,0,0,0,0,1,Foreign companies,"Information transmission, computer services and software industry",,,
"Shiyifa (Beijing) Semiconductor R&D Co., Ltd. bqs",0,0,0,2,0,0,0,0,0,0,0,2,Sino-foreign joint venture,"Information transmission, computer services and software industry",,,
"Zhongxun Runtong Technology (Beijing) Co., Ltd.",0,0,0,16,8,0,0,0,0,0,0,24,Foreign companies,"Information transmission, computer services and software industry",,,
"Beijing Suohong Electronics Co., Ltd.",0,1,0,1,0,0,0,0,0,0,0,2,Sino-foreign joint venture,"Information transmission, computer services and software industry",,,
"Schlumberger Technology (Beijing) Co., Ltd.",1,1,0,0,0,0,0,0,0,0,0,2,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,,
"Beijing concave and convex micro electronics development co., ltd. bjj",0,0,1,0,2,0,0,0,0,0,0,3,Foreign companies,"Information transmission, computer services and software industry",,,
"LG Electronics (China) Co., Ltd.",0,2,0,0,0,0,0,0,0,0,0,2,Foreign companies,"Information transmission, computer services and software industry",,,
"Toshiba (China) Co., Ltd. Beijing R&D Center",0,0,0,3,0,0,0,0,0,0,0,3,Foreign companies,manufacturing,,,
"Beijing Sanming Information Technology Co., Ltd.",0,4,0,0,0,0,0,0,0,0,0,4,limited liability company,"Information transmission, computer services and software industry",,,
"Gempus (Beijing) Electronics Development Co., Ltd. (GBERD)",0,0,0,0,0,9,0,0,0,0,0,9,Foreign companies,"Information transmission, computer services and software industry",,,
"Beijing Dezhong Wanquan Pharmaceutical Technology Development Co., Ltd.",13,21,27,14,0,0,0,0,0,0,0,75,Sino-foreign cooperative enterprises,"Information transmission, computer services and software industry",,,
"Beijing ABB High Voltage Switchgear Co., Ltd. glb",1,0,0,0,0,0,0,0,0,0,0,1,"Foreign Investment Co., Ltd.",manufacturing,,,
"Beijing Aoconv Micro Electronics Development Co., Ltd.",0,1,1,0,0,0,0,0,0,0,0,2,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,,
"VIA Electronics (China) Co., Ltd.",1,1,0,0,0,0,0,0,0,0,0,2,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,,
"Beijing Maijin Pharmaceutical Technology Co., Ltd.",0,5,2,39,4,10,0,0,0,0,0,60,sole proprietorship,"Health, social security and social welfare industries",,,
"AsiaInfo Technologies (China) Co., Ltd.chg",0,0,0,11,0,0,0,0,0,0,0,11,Foreign companies,"Information transmission, computer services and software industry",,,
"Softstar Technology (Beijing) Co., Ltd.",0,5,1,0,0,0,0,0,0,0,0,6,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,,
"Beijing Century Site Technology Development Co., Ltd.",0,0,5,4,3,6,0,0,0,0,0,18,Sino-foreign joint venture,"Information transmission, computer services and software industry",,,
"Honeywell (Beijing) Technology R&D Experiment Co., Ltd.a",0,0,0,0,0,6,0,0,0,0,0,6,Foreign companies,"Information transmission, computer services and software industry",,,
"Panasonic Research and Development (China) Co., Ltd.",1,2,0,0,0,0,0,0,0,0,0,3,"Foreign Investment Co., Ltd.",manufacturing,,,
"Allion Information Technology (Beijing) Co., Ltd.",11,8,9,10,30,25,0,0,0,0,0,93,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,,
"Beijing Lanfan Technology Co., Ltd.",3,6,0,0,0,1,0,0,0,0,0,10,Foreign companies,"Information transmission, computer services and software industry",,,
"Beijing Maijin Pharmaceutical Technology Co., Ltd. bxz",0,0,0,0,0,2,0,0,0,0,0,2,limited liability company,manufacturing,,,
"Softstar Technology (Beijing) Co., Ltd. bjj",0,0,1,3,2,7,0,0,0,0,0,13,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,,
"Bit Lianchuang Electronics (Beijing) Co., Ltd.",4,2,0,1,2,2,0,0,0,0,0,11,limited liability company,"Information transmission, computer services and software industry",,,
"Beijing Yinglixun Technology Co., Ltd.",0,1,0,0,0,0,0,0,0,0,0,1,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,,
"Beijing Zhengda Oasis Pharmaceutical Technology Co., Ltd.",0,0,1,9,20,7,0,0,0,0,0,37,Foreign companies,"Health, social security and social welfare industries",,,
"AsiaInfo Technology (China) Co., Ltd.",0,0,0,0,0,5,0,0,0,0,0,5,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,,
"Beijing Daoda Technology Co., Ltd.",0,4,2,0,0,0,0,0,0,0,0,6,limited liability company,"Scientific research, technical services and geological exploration industry",,,
"Panasonic Electric (China) Co., Ltd. glb",1,0,0,0,0,0,0,0,0,0,0,1,Foreign companies,manufacturing,,,
"Beijing Huakeliyang Technology Co., Ltd.",0,0,0,1,0,0,0,0,0,0,0,1,Sino-foreign joint venture,"Information transmission, computer services and software industry",,,
"Shanghai Lingtong Software Technology Co., Ltd. Beijing Branch",1,6,4,1,5,0,0,0,0,0,0,17,Foreign companies,"Information transmission, computer services and software industry",,,
"Honeywell (Beijing) Technology R&D Experiment Co., Ltd. jx",0,0,0,0,0,3,0,0,0,0,0,3,Foreign companies,"Scientific research, technical services and geological exploration industry",,,
"Beijing Siemens Cerberus Electronics Co., Ltd.",0,0,0,0,1,0,0,0,0,0,0,1,Sino-foreign joint venture,"Information transmission, computer services and software industry",,,
"Yijisi Software (Beijing) Co., Ltd.",0,1,0,0,0,0,0,0,0,0,0,1,private enterprise,"Information transmission, computer services and software industry",,,
"Fujitsu Research and Development Center Co., Ltd.",0,0,2,0,0,0,0,0,0,0,0,2,Foreign companies,"Information transmission, computer services and software industry",,,
"Beijing Kelan Software System Co., Ltd.",0,1,0,0,0,0,0,0,0,0,0,1,Sino-foreign joint venture,"Information transmission, computer services and software industry",,,
"Beijing Nokia Navigation Communications Systems Co., Ltd. glb",1,0,0,0,0,0,0,0,0,0,0,1,limited liability company,"Information transmission, computer services and software industry",,,
"Motorola (China) Electronics Co., Ltd. Beijing Branch",1,0,0,0,0,0,0,0,0,0,0,1,Foreign companies,manufacturing,,,
"Beijing Viatech Network Technology Co., Ltd.",0,0,0,0,0,1,0,0,0,0,0,1,limited liability company,"Information transmission, computer services and software industry",,,
Total,43,98,69,160,125,254,183,337,418,554,239,"2,480",,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,,,,,
Buyer Category,,,,,,years,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total,,,,,
Banks and other financial institutions,0,21,8,23,19,46,40,209,252,357,156,"1,131",,,,,
enterprise,39,62,55,82,81,180,128,111,147,171,64,"1,120",,,,,
State agencies and institutions,0,4,1,2,0,0,3,10,5,19,14,58,,,,,
Total,39,87,64,107,100,226,171,330,404,547,234,"2,309",,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,,,,,
buyer country,,,,,,years,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total,,,,,
Unknown,3,9,1,0,1,0,0,0,0,0,0,14,,,,,
People's Republic of China (CN),35,78,56,83,77,186,155,326,400,543,232,"2,171",,,,,
Japan(JP),0,0,4,6,4,3,7,2,2,2,0,30,,,,,
Myanmar(MM),0,0,0,0,0,0,0,0,1,0,0,1,,,,,
Europe Others,0,0,0,0,0,0,1,0,0,0,0,1,,,,,
United States(US),0,0,2,2,7,8,7,2,1,2,2,33,,,,,
United Kingdom(GB),0,0,0,0,0,0,1,0,0,0,0,1,,,,,
Finland(FI),1,0,0,1,1,0,0,0,0,0,0,3,,,,,
South Korea(KR),0,0,1,4,3,5,0,0,0,0,0,13,,,,,
Sweden(SE),0,0,0,9,7,11,0,0,0,0,0,27,,,,,
Netherlands(NL),0,0,0,1,0,0,0,0,0,0,0,1,,,,,
Singapore(SG),0,0,0,1,0,6,0,0,0,0,0,7,,,,,
Poland(PL),0,0,0,0,0,1,0,0,0,0,0,1,,,,,
France(FR),0,0,0,0,0,5,0,0,0,0,0,5,,,,,
Canada(CA),0,0,0,0,0,1,0,0,0,0,0,1,,,,,
Czech Republic(CZ),39,87,64,107,100,226,171,330,404,547,234,"2,309",,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,,,,,
Buyer Category B,,,,,years,,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total,,,,,
"Hong Kong, Macao and Taiwan investment enterprises",6,9,6,0,2,9,2,2,2,2,0,40,,,,,
State agencies and institutions,0,0,1,0,0,0,3,9,5,15,12,45,,,,,
foreign companies and organizations,3,11,2,21,10,30,14,5,3,5,2,106,,,,,
Domestic-funded enterprises,25,50,46,79,56,131,122,301,366,490,201,"1,867",,,,,
foreign-invested enterprises,5,17,8,7,32,55,30,13,28,32,19,246,,,,,
Self-employed (domestic),0,0,1,0,0,1,0,0,0,3,0,5,,,,,
Total,39,87,64,107,100,226,171,330,404,547,234,"2,309",,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,,,,,
,,,,,years,,,,,,,,,,,,
outsourcing,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total,,,,,
internalize,14,15,12,28,27,42,14,10,23,30,9,224,,,,,
outsourcing,25,72,52,79,73,184,156,320,380,517,224,"2,082",,,,,
Total,39,87,64,107,100,226,170,330,403,547,233,"2,306",,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,,,,,
Seller Category,,,,,years,,,,,,,,,,,,
,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total,,,,,,
Sino-foreign joint venture,0,26,16,35,27,67,42,225,265,393,184,"1,280",,,,,
Wholly foreign-owned enterprise,6,15,9,32,26,31,17,28,51,77,50,342,,,,,
"Foreign Investment Co., Ltd.",15,18,12,25,45,125,112,77,88,77,0,594,,,,,
Sino-foreign cooperative enterprises,13,21,27,14,0,0,0,0,0,0,0,75,,,,,
limited liability company,5,6,0,1,2,3,0,0,0,0,0,17,,,,,
private enterprise,0,1,0,0,0,0,0,0,0,0,0,1,,,,,
Total,39,87,64,107,100,226,171,330,404,547,234,"2,309",,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,,,,,
Intellectual Property Type,,,,,years,,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total,,,,,
computer software,7,25,20,30,31,84,57,115,166,221,80,836,,,,,
No intellectual property rights involved,6,8,6,1,1,90,102,205,231,326,154,"1,130",,,,,
technical secrets,26,54,38,75,67,52,12,10,7,0,0,341,,,,,
patent,0,0,0,1,1,0,0,0,0,0,0,2,,,,,
Total,39,87,64,107,100,226,171,330,404,547,234,"2,309",,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,,,,,
type of contract,,,,,years,,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total,,,,,
Technical Services,3,5,0,9,26,102,97,138,152,234,88,854,,,,,
technology development,19,51,42,83,61,113,71,191,250,310,146,"1,337",,,,,
technology transfer,15,31,22,15,13,11,3,1,2,3,0,116,,,,,
technical consulting,2,0,0,0,0,0,0,0,0,0,0,2,,,,,
Total,39,87,64,107,100,226,171,330,404,547,234,"2,309",,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,,,,,
payment method,,,,,,years,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total,,,,,
Installment payment,24,64,43,67,63,141,68,230,322,439,205,"1,666",,,,,
One time payment,9,20,19,22,19,60,84,88,73,94,27,515,,,,,
commission payment,6,3,2,18,18,25,19,12,9,14,2,128,,,,,
Total,39,87,64,107,100,226,171,330,404,547,234,"2,309",,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Analysis based on 2006:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Column 1,Column 2,Column 3,Column 4,,,Column 1,Column 2,Column 3,Column 4,,,,,,,,
Contract type (2006-2011),,,,,,Contract type (2001-2005),,,,,,,,,,,
,Freq.,Percent,Cum.,,,,Freq.,Percent,Cum.,,,,,,,,
Technical Services,811,42.42,42.42,,,Technical Services,43,10.83,10.83,,,,,,,,
technology development,"1,081",56.54,98.95,,,technology development,256,64.48,75.31,,,,,,,,
technology transfer,20,1.05,100,,,technology transfer,96,24.18,99.5,,,,,,,,
Total,"1,912",100,,,,technical consulting,2,0.5,100,,,,,,,,
,,,,,,Total,397,100,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Column 1,Column 2,Column 3,Column 4,,,Column 1,Column 2,Column 3,Column 4,,,,,,,,
Intellectual Property (2006-2011),,,,,,Intellectual Property (2001-2005),,,,,,,,,,,
,Freq.,Percent,Cum.,,,,Freq.,Percent,Cum.,,,,,,,,
computer software,723,37.81,37.81,,,computer software,113,28.46,28.46,,,,,,,,
No intellectual property rights involved,"1,108",57.95,95.76,,,No intellectual property rights involved,22,5.54,34.01,,,,,,,,
technical secrets,81,4.24,100,,,technical secrets,260,65.49,99.5,,,,,,,,
Total,"1,912",100,,,,patent,2,0.5,100,,,,,,,,
,,,,,,Total,397,100,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Column 1,Column 2,Column 3,Column 4,,,Column 1,Column 2,Column 3,Column 4,,,,,,,,
Payment method (2006-2011),,,,,,Payment method (2001-2005),,,,,,,,,,,
,Freq.,Percent,Cum.,,,,Freq.,Percent,Cum.,,,,,,,,
Installment payment,"1,405",73.48,73.48,,,,,,,,,,,,,,
One time payment,426,22.28,95.76,,,Installment payment,261,65.74,65.74,,,,,,,,
commission payment,81,4.24,100,,,One time payment,89,22.42,88.16,,,,,,,,
Total,"1,912",100,,,,commission payment,47,11.84,100,,,,,,,,
,,,,,,Total,397,100,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Column 1,Column 2,Column 3,Column 4,,,Column 1,Column 2,Column 3,Column 4,,,,,,,,
Seller Category C (2006-2011),,,,,,Seller Category C (2001-2005),,,,,,,,,,,
,Freq.,Percent,Cum.,,,,Freq.,Percent,Cum.,,,,,,,,
Sino-foreign joint venture,"1,176",61.51,61.51,,,Sino-foreign joint venture,104,26.2,26.2,,,,,,,,
Wholly foreign-owned enterprise,254,13.28,74.79,,,Wholly foreign-owned enterprise,88,22.17,48.36,,,,,,,,
"Foreign Investment Co., Ltd.",479,25.05,99.84,,,"Foreign Investment Co., Ltd.",115,28.97,77.33,,,,,,,,
limited liability company,3,0.16,100,,,Sino-foreign cooperative enterprises,75,18.89,96.22,,,,,,,,
Total,"1,912",100,,,,limited liability company,14,3.53,99.75,,,,,,,,
,,,,,,private enterprise,1,0.25,100,,,,,,,,
,,,,,,Total,397,100,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Column 1,Column 2,Column 3,Column 4,,,Column 1,Column 2,Column 3,Column 4,,,,,,,,
Buyer Category B (2006-2011),,,,,,Buyer Category B (2001-2005),,,,,,,,,,,
,Freq.,Percent,Cum.,,,,Freq.,Percent,Cum.,,,,,,,,
"Hong Kong, Macao and Taiwan investment enterprises",17,0.89,0.89,,,"Hong Kong, Macao and Taiwan investment enterprises",23,5.79,5.79,,,,,,,,
State agencies and institutions,44,2.3,3.19,,,State agencies and institutions,1,0.25,6.05,,,,,,,,
foreign companies and organizations,59,3.09,6.28,,,foreign companies and organizations,47,11.84,17.88,,,,,,,,
Domestic-funded enterprises,"1,611",84.26,90.53,,,Domestic-funded enterprises,256,64.48,82.37,,,,,,,,
foreign-invested enterprises,177,9.26,99.79,,,foreign-invested enterprises,69,17.38,99.75,,,,,,,,
Self-employed (domestic),4,0.21,100,,,Self-employed (domestic),1,0.25,100,,,,,,,,
Total,"1,912",100,,,,Total,397,100,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
