Seller name,Seller Category C,Seller ownership,,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Botianyi Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Beijing Daoda Technology Co., Ltd. bjh","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Beijing Daoda Technology Co., Ltd. bjh","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Beijing Daoda Technology Co., Ltd. bjh","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Beijing Daoda Technology Co., Ltd. bjh","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Beijing Chuanshi Digital Technology Co., Ltd. bjj",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Texel Software Co., Ltd.",Sino-foreign joint venture,"Information transmission, computer services and software industry",,
"Beijing Texel Software Co., Ltd.bbq",Sino-foreign joint venture,"Information transmission, computer services and software industry",,
"Beijing Texel Software Co., Ltd.",Sino-foreign joint venture,"Information transmission, computer services and software industry",,
"Beijing Siwei Hengtong Technology Development Co., Ltd. bjj",Sino-foreign joint venture,manufacturing,,
"Beijing Siwei Hengtong Technology Development Co., Ltd. bjj",Sino-foreign joint venture,manufacturing,,
"Silicon Valley Analog Semiconductor (Beijing) Co., Ltd.","Foreign Investment Co., Ltd.",manufacturing,,
"Silicon Valley Analog Semiconductor (Beijing) Co., Ltd.","Foreign Investment Co., Ltd.",manufacturing,,
"Silicon Valley Analog Semiconductor (Beijing) Co., Ltd.","Foreign Investment Co., Ltd.",manufacturing,,
"Silicon Valley Analog Semiconductor (Beijing) Co., Ltd.","Foreign Investment Co., Ltd.",manufacturing,,
"Silicon Valley Analog Semiconductor (Beijing) Co., Ltd.","Foreign Investment Co., Ltd.",manufacturing,,
"Silicon Valley Analog Semiconductor (Beijing) Co., Ltd.","Foreign Investment Co., Ltd.",manufacturing,,
"Beijing Chuanshi Digital Technology Co., Ltd. bjj",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Texel Software Co., Ltd.bbq",Sino-foreign joint venture,"Information transmission, computer services and software industry",,
"Beijing Texel Software Co., Ltd.bbq",Sino-foreign joint venture,"Information transmission, computer services and software industry",,
"Beijing Texel Software Co., Ltd.",Sino-foreign joint venture,"Information transmission, computer services and software industry",,
"Beijing Texel Software Co., Ltd.bbq",Sino-foreign joint venture,"Information transmission, computer services and software industry",,
"Beijing Texel Software Co., Ltd.",Sino-foreign joint venture,"Information transmission, computer services and software industry",,
"Silicon Valley Analog Semiconductor (Beijing) Co., Ltd.","Foreign Investment Co., Ltd.",manufacturing,,
"International Business Machines (China) Investment Co., Ltd.",Foreign companies,manufacturing,,
"International Business Machines (China) Investment Co., Ltd.",Foreign companies,manufacturing,,
"International Business Machines (China) Investment Co., Ltd.",Foreign companies,manufacturing,,
"International Business Machines (China) Investment Co., Ltd.",Foreign companies,manufacturing,,
"International Business Machines (China) Investment Co., Ltd.",Foreign companies,manufacturing,,
"International Business Machines (China) Investment Co., Ltd.",Foreign companies,manufacturing,,
"International Business Machines (China) Investment Co., Ltd.",Foreign companies,manufacturing,,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Beijing Dacheng Wuxian Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Dacheng Wuxian Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Beijing Sohu New Media Information Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Beijing Sohu New Media Information Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Beijing Soufun Network Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Beijing Soufun Network Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Beijing Kelan Software System Co., Ltd. bjh",Sino-foreign joint venture,"Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Beijing Yuxin Yicheng Technology Co., Ltd.",Sino-foreign joint venture,"Information transmission, computer services and software industry",,
"Beijing Soufun Network Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Beijing Soufun Network Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Beijing Soufun Network Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Internet Times (Beijing) Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
