amount,name of the buyer
2,"Beijing Pocket Network Technology Co., Ltd."
2,"Beijing Hexun Online Information Consulting Service Co., Ltd."
2,"Beijing Qianoak Internet Technology Development Co., Ltd."
2,"Beijing Zhichi Power Information Technology Co., Ltd."
2,"Hangzhou Pantone Network Technology Co., Ltd."
2,"Shenzhen Caixun Technology Co., Ltd."
1,"Beijing Zhongwang Online Advertising Co., Ltd."
1,"Beijing Jufang Advertising Co., Ltd."
1,"Beijing Fengli Information Technology Co., Ltd."
1,"Beijing Wanxuntong Technology Development Co., Ltd."
1,"Guangzhou Aochuang Information Technology Co., Ltd."
1,"Beijing Fengxing Online Technology Co., Ltd."
1,"Shenzhen Tiance Interactive Advertising Co., Ltd."
1,"Beijing Fengyang Tianlang Advertising Co., Ltd."
1,"Beijing Xinrui Guangguang Technology Co., Ltd."
1,"Beijing Zhitong Wuxian Technology Co., Ltd."
1,"Shanghai Freex Network Technology Co., Ltd."
1,"Hangzhou Ali Technology Co., Ltd."
1,"Chongqing Xingge Network Technology Co., Ltd."
1,"Beijing Kunlun Wanwei Technology Co., Ltd."
1,"Shanghai Shangpai Network Technology Co., Ltd."
1,"Shanghai Eos Network Technology Co., Ltd."
1,"Beijing Hongfan Netshen Data Network Technology Co., Ltd."
1,"Beijing Sohu Donglin Advertising Co., Ltd."
6,"Hangzhou Dayi Business Network Co., Ltd."
6,"Hangzhou Dayi Business Network Co., Ltd."
3,"Guangzhou Youzhiyi Information Technology Co., Ltd."
5,"Shenzhen Beautiful Alliance Technology Co., Ltd."
1,"Beijing Quna Information Technology Co., Ltd."
1,"Huizhou Yixun Information Technology Co., Ltd."
1,"Shanghai Xixun Media Co., Ltd."
1,"Qile Wuxian (Beijing) Technology Development Co., Ltd."
6,"Hangzhou Dayi Business Network Co., Ltd."
6,"Hangzhou Dayi Business Network Co., Ltd."
3,"Xiamen Yigao Network Technology Co., Ltd."
3,"Xiamen Yigao Network Technology Co., Ltd."
3,"Xiamen Yigao Network Technology Co., Ltd."
3,"Changzhou Dongyuan Textile Printing and Dyeing Co., Ltd."
3,"Changzhou Dongyuan Textile Printing and Dyeing Co., Ltd."
1,"Beijing Chuangshi Miracle Advertising Co., Ltd."
1,"Zhengzhou Jiji Information Technology Co., Ltd."
1,"Beijing Tiantian Kuangguang Network Technology Co., Ltd."
1,"Chongqing Discourse Technology Co., Ltd."
1,"Beijing Tianwei Integrity E-Commerce Co., Ltd."
20,"Beijing Wanwei Sky Technology Co., Ltd."
1,"Shenzhen Baiyi Information Technology Co., Ltd."
1,Beijing Bai Ruide Kitchen Cabinet Factory
1,Beijing Construction Timber Factory
5,"Shenzhen Beautiful Alliance Technology Co., Ltd."
5,"Shenzhen Beautiful Alliance Technology Co., Ltd."
5,"Shenzhen Beautiful Alliance Technology Co., Ltd."
20,"Beijing Wanwei Sky Technology Co., Ltd."
20,"Beijing Wanwei Sky Technology Co., Ltd."
20,"Beijing Wanwei Sky Technology Co., Ltd."
20,"Beijing Wanwei Sky Technology Co., Ltd."
2,Anhui Paimeng Investment Group
2,"Nanjing Xiangwang Network Technology Co., Ltd."
2,"Nanjing Xiangwang Network Technology Co., Ltd."
1,"Beijing Ruibo Yangxin International Culture Media Co., Ltd."
1,"Emeishan Tourism Co., Ltd."
1,"Nanning April Network Technology Co., Ltd."
1,Guangzhou Distance Education Center
1,"Beijing Dongtian Education Technology Co., Ltd."
1,"Beijing Tangyou Advertising Co., Ltd."
1,"Suzhou Zhifu Yingxing Information Technology Co., Ltd."
1,"Suzhou Junyue Travel Agency Co., Ltd."
1,"Suzhou Tangren Digital Technology Co., Ltd."
1,"Beijing Wanguo Fayuan Information Technology Co., Ltd."
1,"Shanghai Giant Network Technology Co., Ltd."
1,"Wangda Advertising Media (Shanghai) Co., Ltd."
1,"Beijing Dixin Xintian Trading Co., Ltd."
1,"Shijian International Trading (Shanghai) Co., Ltd."
1,Jiangsu Radio and Television Station (Group) Jiangsu Radio and Television Website
8,"Beijing Wuzunwu Technology Development Co., Ltd."
2,"Beijing Guotong Kexin Technology Development Co., Ltd."
2,"Athletic World (Beijing) Network Technology Co., Ltd."
2,"Athletic World (Beijing) Network Technology Co., Ltd."
1,"Hangzhou Meike Digital Network Technology Co., Ltd."
1,"Tianjin Haidian Information Technology Co., Ltd."
1,"Beijing Absolute One Hundred Network Technology Co., Ltd."
1,"Beijing 103 Information Technology Co., Ltd."
1,"Beijing Xinrui Online Advertising Co., Ltd."
4,"Beijing Yiow Network Technology Co., Ltd."
7,"Zhuhai Zhongdaxin Network Technology Co., Ltd."
1,"Weihai Hairun Textile and Garment Co., Ltd."
1,"Shanghai Pangrong Computer Technology Co., Ltd."
2,Anhui Paimeng Investment Group
2,"Shenzhen Caixun Technology Co., Ltd."
4,"Shanghai Qingu Network Technology Co., Ltd."
2,"Hangzhou Pantone Network Technology Co., Ltd."
1,"Beijing Herui Times Information Technology Co., Ltd."
1,"Beijing Zhongruitong Communication Equipment Co., Ltd."
20,"Beijing Wanwei Sky Technology Co., Ltd."
20,"Beijing Wanwei Sky Technology Co., Ltd."
20,"Beijing Wanwei Sky Technology Co., Ltd."
20,"Beijing Wanwei Sky Technology Co., Ltd."
20,"Beijing Wanwei Sky Technology Co., Ltd."
20,"Beijing Wanwei Sky Technology Co., Ltd."
20,"Beijing Wanwei Sky Technology Co., Ltd."
20,"Beijing Wanwei Sky Technology Co., Ltd."
20,"Beijing Wanwei Sky Technology Co., Ltd."
20,"Beijing Wanwei Sky Technology Co., Ltd."
20,"Beijing Wanwei Sky Technology Co., Ltd."
20,"Beijing Wanwei Sky Technology Co., Ltd."
20,"Beijing Wanwei Sky Technology Co., Ltd."
20,"Beijing Wanwei Sky Technology Co., Ltd."
5,"Shenzhen Beautiful Alliance Technology Co., Ltd."
1,"Shanghai Xinghuo Information Technology Co., Ltd."
7,"Zhuhai Zhongda Information Network Technology Co., Ltd."
7,"Zhuhai Zhongdaxin Network Technology Co., Ltd."
7,"Zhuhai Zhongdaxin Network Technology Co., Ltd."
7,"Zhuhai Zhongdaxin Network Technology Co., Ltd."
7,"Zhuhai Zhongdaxin Network Technology Co., Ltd."
4,"Beijing Yiow Network Technology Co., Ltd."
6,"Shanghai Chenlu Information Technology Co., Ltd."
6,"Shanghai Chenlu Information Technology Co., Ltd."
6,"Hangzhou Dayi Business Network Co., Ltd."
6,"Hangzhou Dayi Business Network Co., Ltd."
3,"Changzhou Dongyuan Textile Printing and Dyeing Co., Ltd."
3,"Dah Sing Bank (China) Co., Ltd."
2,"Beijing Zhichi Power System Technology Co., Ltd."
1,"Hangzhou Bister Technology Co., Ltd."
1,"Guangzhou Shuixun Information Technology Co., Ltd."
1,"Hangzhou Diangao Network Technology Co., Ltd."
6,"Beijing Feixiangren Information Technology Co., Ltd."
30,"Hua Xia Bank Co., Ltd."
1,"Airlock Building Materials (Beijing) Co., Ltd."
1,"Beijing Century Van Gogh Trading Co., Ltd."
1,Beijing Yinghai Hongqida Protective Window Factory
3,"Guangzhou Youzhiyi Information Technology Co., Ltd."
2,"Beijing Guotong Kexin Technology Development Co., Ltd."
1,"Zhejiang Blog Information Technology Co., Ltd."
1,"Hebei Galaxy Talent Information Service Co., Ltd."
4,"Beijing Yiow Network Technology Co., Ltd."
5,"Beijing Baiyi Technology Co., Ltd."
8,"Beijing Wuzunwu Technology Development Co., Ltd."
8,"Beijing Wuzunwu Technology Development Co., Ltd."
8,"Beijing Wuzunwu Technology Development Co., Ltd."
8,"Beijing Wuzunwu Technology Development Co., Ltd."
8,"Beijing Wuzunwu Technology Development Co., Ltd."
8,"Beijing Wuzunwu Technology Development Co., Ltd."
8,"Beijing Wuzunwu Technology Development Co., Ltd."
6,"Shanghai Chenlu Information Technology Co., Ltd."
3,"Guangzhou Youzhiyi Information Technology Co., Ltd."
2,"Beijing Zhuoyu Interactive Technology Co., Ltd."
2,"Beijing Lianxinsuo Technology Development Co., Ltd."
1,"Shenzhen Hanshiway Technology Co., Ltd."
1,"Shanghai Shizhi Advertising Co., Ltd."
1,"Beijing Jingshi Economic View Advertising Co., Ltd."
3,"Beijing Pengtai Interactive Technology Co., Ltd."
1,"Guangzhou Weekend Tour Guide Television Network Co., Ltd."
5,"Beijing Baiyi Technology Co., Ltd."
1,"Beijing Sengen Technology Co., Ltd."
1,"Shanghai Daowei Investment Consulting Co., Ltd."
7,"Zhuhai Zhongdaxin Network Technology Co., Ltd."
4,"Beijing Yiow Network Technology Co., Ltd."
7,"Shanghai Huaqianshu Information Technology Co., Ltd. Beijing Branch"
7,"Shanghai Huaqianshu Information Technology Co., Ltd. Beijing Branch"
7,"Shanghai Huaqianshu Information Technology Co., Ltd. Beijing Branch"
7,"Shanghai Huaqianshu Information Technology Co., Ltd. Beijing Branch"
7,"Shanghai Huaqianshu Information Technology Co., Ltd. Beijing Branch"
7,"Shanghai Huaqianshu Information Technology Co., Ltd. Beijing Branch"
7,"Shanghai Huaqianshu Information Technology Co., Ltd. Beijing Branch"
5,"Fujian CICC Online Network Co., Ltd."
5,"Fujian CICC Online Network Co., Ltd."
5,"Fujian CICC Online Network Co., Ltd."
5,"Fujian CICC Online Network Co., Ltd."
4,"Shanghai Huaqianshu Information Technology Co., Ltd."
4,"Shanghai Huaqianshu Information Technology Co., Ltd."
4,"Shanghai Huaqianshu Information Technology Co., Ltd."
4,"Shanghai Huaqianshu Information Technology Co., Ltd."
2,"Shanghai Shibiyou Information Technology Co., Ltd."
2,"Beijing Lianxinsuo Technology Development Co., Ltd."
1,"Beijing Youspace Technology Co., Ltd."
1,"Shenzhen Colorful Valley Information Technology Development Co., Ltd. Beijing Branch"
1,"Fuzhou Xinchi Interactive Network Co., Ltd."
1,"Fuzhou CICC Online Network Technology Co., Ltd."
1,"Beijing Gaowei Xincheng Information Co., Ltd."
3,"Beijing Pengtai Interactive Technology Co., Ltd."
3,"Beijing Pengtai Interactive Technology Co., Ltd."
1,"Fuzhou Dima Network Technology Co., Ltd."
1,"Shanghai Xiulin Network Technology Co., Ltd."
1,"Beijing Paike.com Information Technology Co., Ltd."
2,"Beijing Wuba Information Technology Co., Ltd."
1,"Beijing Jimei Home Furnishing Market Group Co., Ltd."
4,"Beijing Sixuepu Information Technology Co., Ltd."
4,"Beijing Sixuepu Information Technology Co., Ltd."
4,"Beijing Sixuepu Information Technology Co., Ltd."
3,"Hangzhou Wangfa Network Information Technology Co., Ltd."
2,"Beijing Yihuaming Health Technology Co., Ltd."
2,"Beijing Yihuaming Health Technology Co., Ltd."
2,"Beijing Wanchuang Online Technology Development Co., Ltd."
1,"Beijing Dongyi Time Network Technology Co., Ltd."
1,"Shanghai Aosheng Business Consulting Co., Ltd."
1,"Jinmeirui (Beijing) Advertising Co., Ltd."
1,"Vancl Eslite (Beijing) Technology Co., Ltd."
5,"Beijing Baiyi Technology Co., Ltd."
5,"Beijing Baiyi Technology Co., Ltd."
9,"Pocket Aviation Service (Beijing) Co., Ltd."
9,"Pocket Aviation Service (Beijing) Co., Ltd."
9,"Pocket Aviation Service (Beijing) Co., Ltd."
9,"Pocket Aviation Service (Beijing) Co., Ltd."
9,"Pocket Aviation Service (Beijing) Co., Ltd."
9,"Pocket Aviation Service (Beijing) Co., Ltd."
9,"Pocket Aviation Service (Beijing) Co., Ltd."
9,"Pocket Aviation Service (Beijing) Co., Ltd."
9,"Pocket Aviation Service (Beijing) Co., Ltd."
1,"Beijing Dikang Jinchuang Technology Development Co., Ltd."
6,"Beijing Feixiangren Information Technology Co., Ltd."
5,"Beijing Baiyi Technology Co., Ltd."
4,"Beijing Jiucheng Port Software Technology Co., Ltd."
4,"Beijing Jiucheng Port Software Technology Co., Ltd."
4,"Beijing Jiucheng Port Software Technology Co., Ltd."
4,"Beijing Jiucheng Port Software Technology Co., Ltd."
1,shares
2,"Beijing Zhuoyu Interactive Technology Co., Ltd."
6,"Shanghai Chenlu Information Technology Co., Ltd."
1,"Shenzhen Catwalk Network Technology Co., Ltd."
54,Agricultural Bank of China Shenzhen Branch
54,Agricultural Bank of China Shenzhen Branch
54,Agricultural Bank of China Shenzhen Branch
54,Agricultural Bank of China Shenzhen Branch
5,"Hanhai Information Technology (Shanghai) Co., Ltd."
5,"Hanhai Information Technology (Shanghai) Co., Ltd."
5,"Hanhai Information Technology (Shanghai) Co., Ltd."
5,"Hanhai Information Technology (Shanghai) Co., Ltd."
3,"China Construction Bank Co., Ltd. Xiamen Branch"
2,"Beijing Chinese Online Culture Development Co., Ltd."
1,"Beijing Boss Kitchen and Bathroom Furniture Co., Ltd."
1,"Shanghai Boyu Culture Communication Co., Ltd."
1,"Beijing Aoland Information Technology Co., Ltd."
4,"Beijing Yike Wood Products Co., Ltd."
2,"Beijing Wuba Information Technology Co., Ltd."
1,"Shanghai Venus Sanitary Ware Co., Ltd. Beijing Branch"
1,"Beijing Youshi Brothers Technology and Trade Co., Ltd."
1,Beijing Jiahe Wanshixing Cabinet Processing Factory
1,"Wuxi Wicked Information Technology Co., Ltd."
1,"Xiamen Zhongyuan Network Services Co., Ltd."
1,"Beijing Kufen Network Technology Co., Ltd."
6,"Beijing Feixiangren Information Technology Co., Ltd."
3,Beijing Zhengtianhua Advertising Company
6,"Beijing Feixiangren Information Technology Co., Ltd."
2,"Yilong.com Information Technology (Beijing) Co., Ltd."
54,Agricultural Bank of China Shenzhen Branch
9,"Agricultural Bank of China Co., Ltd. Shenzhen Branch"
9,"Agricultural Bank of China Co., Ltd. Shenzhen Branch"
13,Shenzhen Development Bank
7,"Bank of Qinghai Co., Ltd."
6,Jiangsu Federation of Rural Credit Cooperatives
2,"Jinchuan Yue (Beijing) Trading Co., Ltd."
2,"Beijing Siyuan Software Co., Ltd."
1,"Beijing Rising International Software Co., Ltd."
1,"Beijing Yingfumei Software Co., Ltd."
1,Beijing Jiuxing Jianuo Furniture Factory
1,"Beijing Noahjia Household Products Co., Ltd."
1,Shanghai Pudong Development Bank Shanghai Branch
1,"Sankeshu Paint Co., Ltd."
6,"Beijing Feixiangren Information Technology Co., Ltd."
1,"Beijing Yiqifa Network Technology Co., Ltd."
1,"Taizhou Jingye Electronic Information Engineering Co., Ltd."
3,"Bank of Communications Co., Ltd. Fujian Branch"
3,"China Construction Bank Co., Ltd. Xiamen Branch"
1,Beijing Chengwaicheng Home Plaza
1,"Beijing Home Easy Station Technology Co., Ltd."
2,"Beijing Hexun Online Information Consulting Service Co., Ltd."
5,"Fujian CICC Online Network Co., Ltd."
2,"Huaxia Shuanglong (Beijing) Network Technology Co., Ltd."
2,"Huaxia Shuanglong (Beijing) Network Technology Co., Ltd."
2,"Shanghai Shibiyou Information Technology Co., Ltd."
1,"Guangzhou Hanyin Network Technology Co., Ltd."
1,"Beijing Ruibaite Network Technology Co., Ltd."
1,"Beijing Quansou Advertising Co., Ltd."
7,"Xinyang Commercial Bank Co., Ltd."
1,"Lekante Health Technology (Beijing) Co., Ltd."
54,Agricultural Bank of China Shenzhen Branch
54,Agricultural Bank of China Shenzhen Branch
54,Agricultural Bank of China Shenzhen Branch
54,Agricultural Bank of China Shenzhen Branch
54,Agricultural Bank of China Shenzhen Branch
13,Bank of China Limited
54,Agricultural Bank of China Shenzhen Branch
54,Agricultural Bank of China Shenzhen Branch
54,Agricultural Bank of China Shenzhen Branch
54,Agricultural Bank of China Shenzhen Branch
9,"Agricultural Bank of China Co., Ltd. Shenzhen Branch"
9,"Agricultural Bank of China Co., Ltd. Shenzhen Branch"
1,"Beijing Lehua Juncheng Building Materials Co., Ltd."
54,Agricultural Bank of China Shenzhen Branch
54,Agricultural Bank of China Shenzhen Branch
8,Guiyang Commercial Bank
2,"China Construction Bank Co., Ltd. Xinyang Branch"
1,"Liansou International Advertising (Beijing) Co., Ltd."
1,"Beijing Yaguangya Decoration Engineering Co., Ltd."
1,"Beijing Guoyuan Wanwei Information Technology Co., Ltd."
1,"Beijing Aoke Biotechnology Co., Ltd."
1,"Shanghai Haoli Investment Management Co., Ltd."
1,"Nanchang Yilian Technology Co., Ltd."
4,"Shanghai Qingu Network Technology Co., Ltd."
4,"Beijing Sixuepu Information Technology Co., Ltd."
26,"Guangdong Development Bank Co., Ltd."
6,"Beijing Feixiangren Information Technology Co., Ltd."
8,"Bank of China Co., Ltd. Beijing Branch"
6,"Bank of Chengdu Co., Ltd."
26,"Guangdong Development Bank Co., Ltd."
13,Shanghai Rural Commercial Bank
13,Shenzhen Development Bank
3,"Daqing Commercial Bank Co., Ltd."
3,"Beijing University of Technology Zhiyuan Technology Development Co., Ltd."
2,"Xianghe Furniture City Property Management Co., Ltd. First Branch"
2,"Huatai Property Insurance Co., Ltd."
1,"Beijing Zhongguang Interactive Advertising Co., Ltd."
1,"Beijing Hanyang Tiandi Advertising Co., Ltd."
1,"Beijing Gaoshili International Lighting Market Co., Ltd."
1,"Guohua Life Insurance Co., Ltd."
1,"Beijing Tiankailibang Trading Co., Ltd."
3,"Beijing Anke Internet Software Development Co., Ltd."
1,"Beijing Zhongmian Machinery Complete Equipment Co., Ltd."
54,Agricultural Bank of China Shenzhen Branch
54,Agricultural Bank of China Shenzhen Branch
2,Henan Federation of Rural Credit Cooperatives
54,Agricultural Bank of China Shenzhen Branch
54,Agricultural Bank of China Shenzhen Branch
9,"Agricultural Bank of China Co., Ltd. Shenzhen Branch"
54,Agricultural Bank of China Shenzhen Branch
30,"Hua Xia Bank Co., Ltd."
26,"Guangdong Development Bank Co., Ltd."
4,HSBC Bank
3,"China Construction Bank Co., Ltd. Xiamen Branch"
3,"Shangqiu Commercial Bank Co., Ltd."
2,"Beijing Chinese Online Culture Development Co., Ltd."
1,"Shanghai Yicai Network Technology Co., Ltd."
2,"Quanzhou Commercial Bank Co., Ltd."
1,"Beijing Honghuzhi Software Technology Co., Ltd."
4,Taicang Rural Commercial Bank
1,"Beijing Wanwangzhicheng Technology Co., Ltd. Chengdu Branch"
54,Agricultural Bank of China Shenzhen Branch
26,"Guangdong Development Bank Co., Ltd."
54,Agricultural Bank of China Shenzhen Branch
9,"Agricultural Bank of China Co., Ltd. Shenzhen Branch"
1,"Beijing Tengxin Interactive Advertising Co., Ltd."
1,"Beijing Totem Baojia Furniture Co., Ltd."
13,Bank of China Limited
3,"Beijing Zhengtianhua Advertising Co., Ltd."
1,"CICC Online Network Technology Co., Ltd."
5,Hunan Federation of Rural Credit Cooperatives
4,"Tai Chi Computer Co., Ltd."
54,Agricultural Bank of China Shenzhen Branch
54,Agricultural Bank of China Shenzhen Branch
54,Agricultural Bank of China Shenzhen Branch
8,"Bank of China Co., Ltd. Beijing Branch"
54,Agricultural Bank of China Shenzhen Branch
54,Agricultural Bank of China Shenzhen Branch
9,"Agricultural Bank of China Co., Ltd. Shenzhen Branch"
9,"Agricultural Bank of China Co., Ltd. Shenzhen Branch"
9,"Agricultural Bank of China Co., Ltd. Shenzhen Branch"
1,"Mefit (Beijing) Paint Co., Ltd."
54,Agricultural Bank of China Shenzhen Branch
54,Agricultural Bank of China Shenzhen Branch
13,Shanghai Rural Commercial Bank
1,"Sanwu Internet Technology Co., Ltd."
1,"Shenzhen Cyber Power Technology Co., Ltd."
1,"Huaxia Life Insurance Co., Ltd."
1,"Guangzhou Ziyuan Information Technology Co., Ltd."
3,"Bank of Communications Co., Ltd. Fujian Branch"
2,"China Construction Bank Co., Ltd. Guangxi Zhuang Autonomous Region Branch"
1,Quanzhou Bank
3,"Beijing University of Technology Zhiyuan Technology Development Co., Ltd."
1,"Beijing Tianxindao Technology Development Co., Ltd."
54,Agricultural Bank of China Shenzhen Branch
54,Agricultural Bank of China Shenzhen Branch
41,"China Construction Bank Co., Ltd. Beijing Branch"
10,"Zhangjiakou Commercial Bank Co., Ltd."
10,"Zhangjiakou Commercial Bank Co., Ltd."
5,"Harbin Bank Co., Ltd."
4,Guangdong Federation of Rural Credit Cooperatives
4,Weihai Commercial Bank
4,"Hangzhou Bank Co., Ltd."
4,"Sino-German Housing Savings Bank Co., Ltd."
3,Shijiazhuang Commercial Bank
2,"Xiamen Commercial Bank Co., Ltd."
2,"Anyang Commercial Bank Co., Ltd."
2,"Bank of Guiyang Co., Ltd."
2,"Bank of Guiyang Co., Ltd."
1,"Beijing Huicong International Information Co., Ltd."
1,Jinshang Bank
1,"ICBC Credit Suisse Fund Management Co., Ltd."
1,"Chongqing Three Gorges Bank Co., Ltd."
1,"Anhui Maanshan Rural Commercial Bank Co., Ltd."
1,Xinjiang Huihe Bank
1,"Hengshui Commercial Bank Co., Ltd."
1,"Bank of Xi'an Co., Ltd."
1,"Beijing Derun Industry and Trade Co., Ltd."
2,"Huatai Property Insurance Co., Ltd."
2,"Tianjin Zhongke Remote Sensing Information Technology Co., Ltd."
1,"Agricultural Bank of China Co., Ltd. Xiamen Branch"
26,"Guangdong Development Bank Co., Ltd."
13,Shanghai Rural Commercial Bank
10,"Bank of Ningbo Co., Ltd."
41,"China Construction Bank Co., Ltd. Beijing Branch"
13,Bank of China Limited
9,"Beijing Zhikong Meixin Information Technology Co., Ltd."
8,"Bank of China Co., Ltd. Beijing Branch"
5,Beijing Rural Commercial Bank
10,"Bank of China Limited, Macau Branch"
2,"Quanzhou Commercial Bank Co., Ltd."
54,Agricultural Bank of China Shenzhen Branch
2,"Deyang Commercial Bank Co., Ltd."
4,Weihai Commercial Bank
2,"Business Department, Head Office of China CITIC Bank Co., Ltd."
8,"Bank of China Co., Ltd. Beijing Branch"
14,Huishang Bank
14,"Bank of Shanghai Co., Ltd."
13,Shanghai Rural Commercial Bank
8,China Everbright Bank
7,"Jiangsu Wujiang Rural Commercial Bank Co., Ltd."
6,"Nanchang Bank Co., Ltd."
5,Beijing Rural Commercial Bank
4,HSBC Bank
3,Quanzhou Commercial Bank
3,"China-Singapore Great Eastern Life Insurance Co., Ltd."
3,"Beijing University of Technology Zhiyuan Technology Development Co., Ltd."
3,"China-Singapore Great Eastern Life Insurance Co., Ltd."
2,"Shin Kong Life Insurance Co., Ltd."
2,"Shenzhen Rural Commercial Bank Co., Ltd."
2,"Shenzhen Rural Commercial Bank Co., Ltd."
1,Shenzhen Rural Commercial Bank
1,"Beijing Jingguang Huayi Venture Decoration Co., Ltd."
1,"Beijing Lijia Meiju Building Materials Co., Ltd."
1,"Zhejiang Aohua Electric Co., Ltd. Beijing Operation Center"
1,Bank of Jiangsu Wuxi Branch
1,Bank of Jiangsu Zhenjiang Branch
1,Taishan Rural Credit Cooperatives Federation
1,"Beijing Taihua Jinze Trading Co., Ltd."
1,"China UnionPay Co., Ltd."
1,"Beijing Hengbang Kaijie Radiator Co., Ltd."
1,"Beijing Saiyishi Decoration Materials Co., Ltd."
1,"Beijing Ruiyuan Aige Decoration Materials Co., Ltd."
3,"China Construction Bank Co., Ltd. Qinghai Provincial Branch"
13,Bank of China Limited
13,"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch"
1,"Beijing Anju Yiyuan Industry and Trade Co., Ltd."
1,"Beijing Handong Economic and Trade Co., Ltd."
1,"Beijing China Enterprise Power Business Information Co., Ltd."
