name of the buyer,if the project is a R&D mission
"Beijing Wanxuntong Technology Development Co., Ltd.",0
"Guangzhou Aochuang Information Technology Co., Ltd.",0
"Beijing Fengxing Online Technology Co., Ltd.",0
"Shenzhen Tiance Interactive Advertising Co., Ltd.",0
"Beijing Fengyang Tianlang Advertising Co., Ltd.",1
"Beijing Xinrui Guangguang Technology Co., Ltd.",0
"Beijing Zhitong Wuxian Technology Co., Ltd.",0
"Shanghai Freex Network Technology Co., Ltd.",0
"Hangzhou Ali Technology Co., Ltd.",0
"Chongqing Xingge Network Technology Co., Ltd.",0
"Beijing Kunlun Wanwei Technology Co., Ltd.",0
"Shanghai Shangpai Network Technology Co., Ltd.",0
"Shanghai Eos Network Technology Co., Ltd.",0
"Beijing Hongfan Netshen Data Network Technology Co., Ltd.",0
"Beijing Sohu Donglin Advertising Co., Ltd.",0
"Hangzhou Dayi Business Network Co., Ltd.",0
"Hangzhou Dayi Business Network Co., Ltd.",0
"Guangzhou Youzhiyi Information Technology Co., Ltd.",0
"Shenzhen Beautiful Alliance Technology Co., Ltd.",0
"Beijing Quna Information Technology Co., Ltd.",0
"Huizhou Yixun Information Technology Co., Ltd.",0
"Shanghai Xixun Media Co., Ltd.",0
"Qile Wuxian (Beijing) Technology Development Co., Ltd.",0
"Hangzhou Dayi Business Network Co., Ltd.",0
"Hangzhou Dayi Business Network Co., Ltd.",0
"Xiamen Yigao Network Technology Co., Ltd.",0
"Xiamen Yigao Network Technology Co., Ltd.",0
"Xiamen Yigao Network Technology Co., Ltd.",0
"Changzhou Dongyuan Textile Printing and Dyeing Co., Ltd.",0
"Changzhou Dongyuan Textile Printing and Dyeing Co., Ltd.",0
"Beijing Chuangshi Miracle Advertising Co., Ltd.",0
"Zhengzhou Jiji Information Technology Co., Ltd.",0
"Beijing Tiantian Kuangguang Network Technology Co., Ltd.",0
"Chongqing Discourse Technology Co., Ltd.",0
"Beijing Tianwei Integrity E-Commerce Co., Ltd.",0
"Beijing Wanwei Sky Technology Co., Ltd.",0
"Shenzhen Baiyi Information Technology Co., Ltd.",0
Beijing Bai Ruide Kitchen Cabinet Factory,0
Beijing Construction Timber Factory,0
"Shenzhen Beautiful Alliance Technology Co., Ltd.",0
"Shenzhen Beautiful Alliance Technology Co., Ltd.",0
"Shenzhen Beautiful Alliance Technology Co., Ltd.",0
"Beijing Wanwei Sky Technology Co., Ltd.",0
"Beijing Wanwei Sky Technology Co., Ltd.",0
"Beijing Wanwei Sky Technology Co., Ltd.",0
"Beijing Wanwei Sky Technology Co., Ltd.",0
Anhui Paimeng Investment Group,0
"Nanjing Xiangwang Network Technology Co., Ltd.",0
"Nanjing Xiangwang Network Technology Co., Ltd.",0
"Beijing Ruibo Yangxin International Culture Media Co., Ltd.",0
"Emeishan Tourism Co., Ltd.",0
"Nanning April Network Technology Co., Ltd.",0
Guangzhou Distance Education Center,0
"Beijing Dongtian Education Technology Co., Ltd.",0
"Beijing Tangyou Advertising Co., Ltd.",0
"Suzhou Zhifu Yingxing Information Technology Co., Ltd.",0
"Suzhou Junyue Travel Agency Co., Ltd.",0
"Suzhou Tangren Digital Technology Co., Ltd.",0
"Beijing Wanguo Fayuan Information Technology Co., Ltd.",0
"Shanghai Giant Network Technology Co., Ltd.",0
"Wangda Advertising Media (Shanghai) Co., Ltd.",0
"Beijing Dixin Xintian Trading Co., Ltd.",0
"Shijian International Trading (Shanghai) Co., Ltd.",0
Jiangsu Radio and Television Station (Group) Jiangsu Radio and Television Website,0
"Beijing Wuzunwu Technology Development Co., Ltd.",0
"Beijing Guotong Kexin Technology Development Co., Ltd.",0
"Athletic World (Beijing) Network Technology Co., Ltd.",0
"Athletic World (Beijing) Network Technology Co., Ltd.",0
"Hangzhou Meike Digital Network Technology Co., Ltd.",0
"Tianjin Haidian Information Technology Co., Ltd.",0
"Beijing Absolute One Hundred Network Technology Co., Ltd.",0
"Beijing 103 Information Technology Co., Ltd.",0
"Beijing Xinrui Online Advertising Co., Ltd.",0
"Beijing Yiow Network Technology Co., Ltd.",0
"Zhuhai Zhongdaxin Network Technology Co., Ltd.",0
"Weihai Hairun Textile and Garment Co., Ltd.",0
"Shanghai Pangrong Computer Technology Co., Ltd.",0
Anhui Paimeng Investment Group,0
"Shenzhen Caixun Technology Co., Ltd.",0
"Shanghai Qingu Network Technology Co., Ltd.",0
"Hangzhou Pantone Network Technology Co., Ltd.",0
"Beijing Herui Times Information Technology Co., Ltd.",0
"Beijing Zhongruitong Communication Equipment Co., Ltd.",0
"Beijing Wanwei Sky Technology Co., Ltd.",0
"Beijing Wanwei Sky Technology Co., Ltd.",0
"Beijing Wanwei Sky Technology Co., Ltd.",0
"Beijing Wanwei Sky Technology Co., Ltd.",0
"Beijing Wanwei Sky Technology Co., Ltd.",0
"Beijing Wanwei Sky Technology Co., Ltd.",0
"Beijing Wanwei Sky Technology Co., Ltd.",0
"Beijing Wanwei Sky Technology Co., Ltd.",0
"Beijing Wanwei Sky Technology Co., Ltd.",0
"Beijing Wanwei Sky Technology Co., Ltd.",0
"Beijing Wanwei Sky Technology Co., Ltd.",0
"Beijing Wanwei Sky Technology Co., Ltd.",0
"Beijing Wanwei Sky Technology Co., Ltd.",0
"Beijing Wanwei Sky Technology Co., Ltd.",0
"Shenzhen Beautiful Alliance Technology Co., Ltd.",0
"Shanghai Xinghuo Information Technology Co., Ltd.",0
"Zhuhai Zhongda Information Network Technology Co., Ltd.",0
"Zhuhai Zhongdaxin Network Technology Co., Ltd.",0
"Zhuhai Zhongdaxin Network Technology Co., Ltd.",0
"Zhuhai Zhongdaxin Network Technology Co., Ltd.",0
"Zhuhai Zhongdaxin Network Technology Co., Ltd.",0
"Beijing Yiow Network Technology Co., Ltd.",0
"Shanghai Chenlu Information Technology Co., Ltd.",0
"Shanghai Chenlu Information Technology Co., Ltd.",0
"Hangzhou Dayi Business Network Co., Ltd.",0
"Hangzhou Dayi Business Network Co., Ltd.",0
"Changzhou Dongyuan Textile Printing and Dyeing Co., Ltd.",0
"Dah Sing Bank (China) Co., Ltd.",0
"Beijing Zhichi Power System Technology Co., Ltd.",0
"Hangzhou Bister Technology Co., Ltd.",0
"Guangzhou Shuixun Information Technology Co., Ltd.",0
"Hangzhou Diangao Network Technology Co., Ltd.",0
"Beijing Feixiangren Information Technology Co., Ltd.",0
"Hua Xia Bank Co., Ltd.",0
"Airlock Building Materials (Beijing) Co., Ltd.",0
"Beijing Century Van Gogh Trading Co., Ltd.",0
Beijing Yinghai Hongqida Protective Window Factory,0
"Guangzhou Youzhiyi Information Technology Co., Ltd.",0
"Beijing Guotong Kexin Technology Development Co., Ltd.",0
"Zhejiang Blog Information Technology Co., Ltd.",0
"Hebei Galaxy Talent Information Service Co., Ltd.",0
"Beijing Yiow Network Technology Co., Ltd.",0
"Beijing Baiyi Technology Co., Ltd.",0
"Beijing Wuzunwu Technology Development Co., Ltd.",0
"Beijing Wuzunwu Technology Development Co., Ltd.",0
"Beijing Wuzunwu Technology Development Co., Ltd.",0
"Beijing Wuzunwu Technology Development Co., Ltd.",0
"Beijing Wuzunwu Technology Development Co., Ltd.",0
"Beijing Wuzunwu Technology Development Co., Ltd.",0
"Beijing Wuzunwu Technology Development Co., Ltd.",0
"Shanghai Chenlu Information Technology Co., Ltd.",0
"Guangzhou Youzhiyi Information Technology Co., Ltd.",0
"Beijing Zhuoyu Interactive Technology Co., Ltd.",0
"Beijing Lianxinsuo Technology Development Co., Ltd.",0
"Shenzhen Hanshiway Technology Co., Ltd.",0
"Shanghai Shizhi Advertising Co., Ltd.",0
"Beijing Jingshi Economic View Advertising Co., Ltd.",0
"Beijing Pengtai Interactive Technology Co., Ltd.",0
"Guangzhou Weekend Tour Guide Television Network Co., Ltd.",0
"Beijing Baiyi Technology Co., Ltd.",0
"Beijing Sengen Technology Co., Ltd.",0
"Shanghai Daowei Investment Consulting Co., Ltd.",0
"Zhuhai Zhongdaxin Network Technology Co., Ltd.",0
"Beijing Yiow Network Technology Co., Ltd.",0
"Shanghai Huaqianshu Information Technology Co., Ltd. Beijing Branch",0
"Shanghai Huaqianshu Information Technology Co., Ltd. Beijing Branch",0
"Shanghai Huaqianshu Information Technology Co., Ltd. Beijing Branch",0
"Shanghai Huaqianshu Information Technology Co., Ltd. Beijing Branch",0
"Shanghai Huaqianshu Information Technology Co., Ltd. Beijing Branch",0
"Shanghai Huaqianshu Information Technology Co., Ltd. Beijing Branch",0
"Shanghai Huaqianshu Information Technology Co., Ltd. Beijing Branch",0
"Fujian CICC Online Network Co., Ltd.",0
"Fujian CICC Online Network Co., Ltd.",0
"Fujian CICC Online Network Co., Ltd.",0
"Fujian CICC Online Network Co., Ltd.",0
"Shanghai Huaqianshu Information Technology Co., Ltd.",0
"Shanghai Huaqianshu Information Technology Co., Ltd.",0
"Shanghai Huaqianshu Information Technology Co., Ltd.",0
"Shanghai Huaqianshu Information Technology Co., Ltd.",0
"Shanghai Shibiyou Information Technology Co., Ltd.",0
"Beijing Lianxinsuo Technology Development Co., Ltd.",0
"Beijing Youspace Technology Co., Ltd.",0
"Shenzhen Colorful Valley Information Technology Development Co., Ltd. Beijing Branch",0
"Fuzhou Xinchi Interactive Network Co., Ltd.",0
"Fuzhou CICC Online Network Technology Co., Ltd.",0
"Beijing Gaowei Xincheng Information Co., Ltd.",0
"Beijing Pengtai Interactive Technology Co., Ltd.",0
"Beijing Pengtai Interactive Technology Co., Ltd.",0
"Fuzhou Dima Network Technology Co., Ltd.",0
"Shanghai Xiulin Network Technology Co., Ltd.",0
"Beijing Paike.com Information Technology Co., Ltd.",0
"Beijing Wuba Information Technology Co., Ltd.",0
"Beijing Jimei Home Furnishing Market Group Co., Ltd.",0
"Beijing Sixuepu Information Technology Co., Ltd.",0
"Beijing Sixuepu Information Technology Co., Ltd.",0
"Beijing Sixuepu Information Technology Co., Ltd.",0
"Hangzhou Wangfa Network Information Technology Co., Ltd.",0
"Beijing Yihuaming Health Technology Co., Ltd.",0
"Beijing Yihuaming Health Technology Co., Ltd.",0
"Beijing Wanchuang Online Technology Development Co., Ltd.",0
"Beijing Dongyi Time Network Technology Co., Ltd.",0
"Shanghai Aosheng Business Consulting Co., Ltd.",0
"Jinmeirui (Beijing) Advertising Co., Ltd.",0
"Vancl Eslite (Beijing) Technology Co., Ltd.",0
"Beijing Baiyi Technology Co., Ltd.",0
"Beijing Baiyi Technology Co., Ltd.",0
"Pocket Aviation Service (Beijing) Co., Ltd.",0
"Pocket Aviation Service (Beijing) Co., Ltd.",0
"Pocket Aviation Service (Beijing) Co., Ltd.",0
"Pocket Aviation Service (Beijing) Co., Ltd.",0
"Pocket Aviation Service (Beijing) Co., Ltd.",0
"Pocket Aviation Service (Beijing) Co., Ltd.",0
"Pocket Aviation Service (Beijing) Co., Ltd.",0
"Pocket Aviation Service (Beijing) Co., Ltd.",0
"Pocket Aviation Service (Beijing) Co., Ltd.",0
"Beijing Dikang Jinchuang Technology Development Co., Ltd.",0
"Beijing Feixiangren Information Technology Co., Ltd.",0
"Beijing Baiyi Technology Co., Ltd.",0
"Beijing Jiucheng Port Software Technology Co., Ltd.",0
"Beijing Jiucheng Port Software Technology Co., Ltd.",0
"Beijing Jiucheng Port Software Technology Co., Ltd.",0
"Beijing Jiucheng Port Software Technology Co., Ltd.",0
shares,1
"Beijing Zhuoyu Interactive Technology Co., Ltd.",0
"Shanghai Chenlu Information Technology Co., Ltd.",0
"Shenzhen Catwalk Network Technology Co., Ltd.",0
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
"Hanhai Information Technology (Shanghai) Co., Ltd.",0
"Hanhai Information Technology (Shanghai) Co., Ltd.",0
"Hanhai Information Technology (Shanghai) Co., Ltd.",0
"Hanhai Information Technology (Shanghai) Co., Ltd.",0
"China Construction Bank Co., Ltd. Xiamen Branch",0
"Beijing Chinese Online Culture Development Co., Ltd.",0
"Beijing Boss Kitchen and Bathroom Furniture Co., Ltd.",0
"Shanghai Boyu Culture Communication Co., Ltd.",0
"Beijing Aoland Information Technology Co., Ltd.",0
"Beijing Yike Wood Products Co., Ltd.",0
"Beijing Wuba Information Technology Co., Ltd.",0
"Shanghai Venus Sanitary Ware Co., Ltd. Beijing Branch",0
"Beijing Youshi Brothers Technology and Trade Co., Ltd.",0
Beijing Jiahe Wanshixing Cabinet Processing Factory,0
"Wuxi Wicked Information Technology Co., Ltd.",0
"Xiamen Zhongyuan Network Services Co., Ltd.",0
"Beijing Kufen Network Technology Co., Ltd.",0
"Beijing Feixiangren Information Technology Co., Ltd.",0
Beijing Zhengtianhua Advertising Company,0
"Beijing Feixiangren Information Technology Co., Ltd.",0
"Yilong.com Information Technology (Beijing) Co., Ltd.",0
Agricultural Bank of China Shenzhen Branch,1
"Agricultural Bank of China Co., Ltd. Shenzhen Branch",1
"Agricultural Bank of China Co., Ltd. Shenzhen Branch",1
Shenzhen Development Bank,1
"Bank of Qinghai Co., Ltd.",1
Jiangsu Federation of Rural Credit Cooperatives,1
"Jinchuan Yue (Beijing) Trading Co., Ltd.",0
"Beijing Siyuan Software Co., Ltd.",1
"Beijing Rising International Software Co., Ltd.",0
"Beijing Yingfumei Software Co., Ltd.",1
Beijing Jiuxing Jianuo Furniture Factory,0
"Beijing Noahjia Household Products Co., Ltd.",0
Shanghai Pudong Development Bank Shanghai Branch,0
"Sankeshu Paint Co., Ltd.",0
"Beijing Feixiangren Information Technology Co., Ltd.",0
"Beijing Yiqifa Network Technology Co., Ltd.",0
"Taizhou Jingye Electronic Information Engineering Co., Ltd.",0
"Bank of Communications Co., Ltd. Fujian Branch",1
"China Construction Bank Co., Ltd. Xiamen Branch",0
Beijing Chengwaicheng Home Plaza,0
"Beijing Home Easy Station Technology Co., Ltd.",0
"Beijing Hexun Online Information Consulting Service Co., Ltd.",0
"Fujian CICC Online Network Co., Ltd.",0
"Huaxia Shuanglong (Beijing) Network Technology Co., Ltd.",0
"Huaxia Shuanglong (Beijing) Network Technology Co., Ltd.",0
"Shanghai Shibiyou Information Technology Co., Ltd.",0
"Guangzhou Hanyin Network Technology Co., Ltd.",0
"Beijing Ruibaite Network Technology Co., Ltd.",0
"Beijing Quansou Advertising Co., Ltd.",0
"Xinyang Commercial Bank Co., Ltd.",0
"Lekante Health Technology (Beijing) Co., Ltd.",0
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
Bank of China Limited,0
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
"Agricultural Bank of China Co., Ltd. Shenzhen Branch",1
"Agricultural Bank of China Co., Ltd. Shenzhen Branch",1
"Beijing Lehua Juncheng Building Materials Co., Ltd.",0
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
Guiyang Commercial Bank,1
"China Construction Bank Co., Ltd. Xinyang Branch",0
"Liansou International Advertising (Beijing) Co., Ltd.",0
"Beijing Yaguangya Decoration Engineering Co., Ltd.",0
"Beijing Guoyuan Wanwei Information Technology Co., Ltd.",0
"Beijing Aoke Biotechnology Co., Ltd.",0
"Shanghai Haoli Investment Management Co., Ltd.",0
"Nanchang Yilian Technology Co., Ltd.",0
"Shanghai Qingu Network Technology Co., Ltd.",0
"Beijing Sixuepu Information Technology Co., Ltd.",0
"Guangdong Development Bank Co., Ltd.",1
"Beijing Feixiangren Information Technology Co., Ltd.",0
"Bank of China Co., Ltd. Beijing Branch",1
"Bank of Chengdu Co., Ltd.",1
"Guangdong Development Bank Co., Ltd.",0
Shanghai Rural Commercial Bank,1
Shenzhen Development Bank,1
"Daqing Commercial Bank Co., Ltd.",0
"Beijing University of Technology Zhiyuan Technology Development Co., Ltd.",1
"Xianghe Furniture City Property Management Co., Ltd. First Branch",0
"Huatai Property Insurance Co., Ltd.",0
"Beijing Zhongguang Interactive Advertising Co., Ltd.",0
"Beijing Hanyang Tiandi Advertising Co., Ltd.",0
"Beijing Gaoshili International Lighting Market Co., Ltd.",0
"Guohua Life Insurance Co., Ltd.",0
"Beijing Tiankailibang Trading Co., Ltd.",0
"Beijing Anke Internet Software Development Co., Ltd.",1
"Beijing Zhongmian Machinery Complete Equipment Co., Ltd.",1
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
Henan Federation of Rural Credit Cooperatives,1
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
"Agricultural Bank of China Co., Ltd. Shenzhen Branch",1
Agricultural Bank of China Shenzhen Branch,1
"Hua Xia Bank Co., Ltd.",1
"Guangdong Development Bank Co., Ltd.",1
HSBC Bank,1
"China Construction Bank Co., Ltd. Xiamen Branch",0
"Shangqiu Commercial Bank Co., Ltd.",0
"Beijing Chinese Online Culture Development Co., Ltd.",0
"Shanghai Yicai Network Technology Co., Ltd.",0
"Quanzhou Commercial Bank Co., Ltd.",1
"Beijing Honghuzhi Software Technology Co., Ltd.",1
Taicang Rural Commercial Bank,0
"Beijing Wanwangzhicheng Technology Co., Ltd. Chengdu Branch",0
Agricultural Bank of China Shenzhen Branch,1
"Guangdong Development Bank Co., Ltd.",1
Agricultural Bank of China Shenzhen Branch,1
"Agricultural Bank of China Co., Ltd. Shenzhen Branch",1
"Beijing Tengxin Interactive Advertising Co., Ltd.",0
"Beijing Totem Baojia Furniture Co., Ltd.",0
Bank of China Limited,0
"Beijing Zhengtianhua Advertising Co., Ltd.",0
"CICC Online Network Technology Co., Ltd.",0
Hunan Federation of Rural Credit Cooperatives,1
"Tai Chi Computer Co., Ltd.",0
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
"Bank of China Co., Ltd. Beijing Branch",1
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
"Agricultural Bank of China Co., Ltd. Shenzhen Branch",1
"Agricultural Bank of China Co., Ltd. Shenzhen Branch",1
"Agricultural Bank of China Co., Ltd. Shenzhen Branch",1
"Mefit (Beijing) Paint Co., Ltd.",0
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
Shanghai Rural Commercial Bank,1
"Sanwu Internet Technology Co., Ltd.",0
"Shenzhen Cyber Power Technology Co., Ltd.",0
"Huaxia Life Insurance Co., Ltd.",0
"Guangzhou Ziyuan Information Technology Co., Ltd.",0
"Bank of Communications Co., Ltd. Fujian Branch",1
"China Construction Bank Co., Ltd. Guangxi Zhuang Autonomous Region Branch",1
Quanzhou Bank,1
"Beijing University of Technology Zhiyuan Technology Development Co., Ltd.",1
"Beijing Tianxindao Technology Development Co., Ltd.",0
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
"China Construction Bank Co., Ltd. Beijing Branch",0
"Zhangjiakou Commercial Bank Co., Ltd.",1
"Zhangjiakou Commercial Bank Co., Ltd.",1
"Harbin Bank Co., Ltd.",1
Guangdong Federation of Rural Credit Cooperatives,0
Weihai Commercial Bank,0
"Hangzhou Bank Co., Ltd.",1
"Sino-German Housing Savings Bank Co., Ltd.",0
Shijiazhuang Commercial Bank,1
"Xiamen Commercial Bank Co., Ltd.",0
"Anyang Commercial Bank Co., Ltd.",0
"Bank of Guiyang Co., Ltd.",1
"Bank of Guiyang Co., Ltd.",1
"Beijing Huicong International Information Co., Ltd.",0
Jinshang Bank,1
"ICBC Credit Suisse Fund Management Co., Ltd.",1
"Chongqing Three Gorges Bank Co., Ltd.",0
"Anhui Maanshan Rural Commercial Bank Co., Ltd.",0
Xinjiang Huihe Bank,0
"Hengshui Commercial Bank Co., Ltd.",0
"Bank of Xi'an Co., Ltd.",0
"Beijing Derun Industry and Trade Co., Ltd.",0
"Huatai Property Insurance Co., Ltd.",0
"Tianjin Zhongke Remote Sensing Information Technology Co., Ltd.",0
"Agricultural Bank of China Co., Ltd. Xiamen Branch",0
"Guangdong Development Bank Co., Ltd.",1
Shanghai Rural Commercial Bank,1
"Bank of Ningbo Co., Ltd.",0
"China Construction Bank Co., Ltd. Beijing Branch",1
Bank of China Limited,1
"Beijing Zhikong Meixin Information Technology Co., Ltd.",1
"Bank of China Co., Ltd. Beijing Branch",1
Beijing Rural Commercial Bank,1
"Bank of China Limited, Macau Branch",1
"Quanzhou Commercial Bank Co., Ltd.",1
Agricultural Bank of China Shenzhen Branch,1
"Deyang Commercial Bank Co., Ltd.",1
Weihai Commercial Bank,0
"Business Department, Head Office of China CITIC Bank Co., Ltd.",1
"Bank of China Co., Ltd. Beijing Branch",1
Huishang Bank,1
"Bank of Shanghai Co., Ltd.",1
Shanghai Rural Commercial Bank,1
China Everbright Bank,0
"Jiangsu Wujiang Rural Commercial Bank Co., Ltd.",1
"Nanchang Bank Co., Ltd.",1
Beijing Rural Commercial Bank,1
HSBC Bank,1
Quanzhou Commercial Bank,1
"China-Singapore Great Eastern Life Insurance Co., Ltd.",0
"Beijing University of Technology Zhiyuan Technology Development Co., Ltd.",1
"China-Singapore Great Eastern Life Insurance Co., Ltd.",0
"Shin Kong Life Insurance Co., Ltd.",0
"Shenzhen Rural Commercial Bank Co., Ltd.",1
"Shenzhen Rural Commercial Bank Co., Ltd.",1
Shenzhen Rural Commercial Bank,1
"Beijing Jingguang Huayi Venture Decoration Co., Ltd.",0
"Beijing Lijia Meiju Building Materials Co., Ltd.",0
"Zhejiang Aohua Electric Co., Ltd. Beijing Operation Center",0
Bank of Jiangsu Wuxi Branch,0
Bank of Jiangsu Zhenjiang Branch,0
Taishan Rural Credit Cooperatives Federation,1
"Beijing Taihua Jinze Trading Co., Ltd.",0
"China UnionPay Co., Ltd.",0
"Beijing Hengbang Kaijie Radiator Co., Ltd.",0
"Beijing Saiyishi Decoration Materials Co., Ltd.",0
"Beijing Ruiyuan Aige Decoration Materials Co., Ltd.",0
"China Construction Bank Co., Ltd. Qinghai Provincial Branch",1
Bank of China Limited,0
"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch",1
"Beijing Anju Yiyuan Industry and Trade Co., Ltd.",0
"Beijing Handong Economic and Trade Co., Ltd.",0
"Beijing China Enterprise Power Business Information Co., Ltd.",0
"Beijing Zhikong Meixin Information Technology Co., Ltd.",1
"Bank of Quanzhou Co., Ltd.",1
