name of the buyer,location of the buyer,if the buyer is a bank,the buyer's country,if the buyer is a chinese organization,Turnover,money,installment,paystyle,payment method
"State Forestry Administration Survey, Planning and Design Institute",Beijing,0,People's Republic of China (CN),1,172500,172500,1,1,Installment payment
"Institute of Mineral Resources, Chinese Academy of Geological Sciences",Beijing,0,People's Republic of China (CN),1,174700,174700,1,1,Installment payment
National Disaster Reduction Center of the Ministry of Civil Affairs,Beijing,0,People's Republic of China (CN),1,200000,200000,0,2,One time payment
China National Petroleum Corporation Science and Technology Research Institute,Beijing,0,People's Republic of China (CN),1,207000,207000,0,2,One time payment
Chinese Academy of Sciences China Remote Sensing Satellite Ground Station,Beijing,0,People's Republic of China (CN),1,228998.34,228998.34,0,2,One time payment
Jiangsu Provincial Bureau of Surveying and Mapping,Jiangsu Province,0,People's Republic of China (CN),1,240000,240000,1,1,Installment payment
Guangxi Zhuang Autonomous Region Remote Sensing Center,Guangxi Zhuang Autonomous Region,0,People's Republic of China (CN),1,281700,281700,1,1,Installment payment
National Satellite Ocean Application Center,Beijing,0,People's Republic of China (CN),1,300000,300000,0,2,One time payment
"Center for Earth Observation and Digital Earth Science, Chinese Academy of Sciences",Beijing,0,People's Republic of China (CN),1,312260.33,312260.33,0,2,One time payment
"Institute of Geographic Sciences and Natural Resources, Chinese Academy of Sciences",Beijing,0,People's Republic of China (CN),1,315500,315500,1,1,Installment payment
Jiangsu Provincial Environmental Monitoring Center,Jiangsu Province,0,People's Republic of China (CN),1,347220,347220,1,1,Installment payment
National Disaster Reduction Center of the Ministry of Civil Affairs,Beijing,0,People's Republic of China (CN),1,350000,350000,1,1,Installment payment
Chinese Academy of Sciences China Remote Sensing Satellite Ground Station,Beijing,0,People's Republic of China (CN),1,356318.3,356318.3,0,2,One time payment
"Center for Earth Observation and Digital Earth Science, Chinese Academy of Sciences",Beijing,0,People's Republic of China (CN),1,359000,359000,0,2,One time payment
Jiangsu Provincial Institute of Surveying and Mapping Engineering,Jiangsu Province,0,People's Republic of China (CN),1,479882,479882,1,1,Installment payment
Chinese Academy of Sciences China Remote Sensing Satellite Ground Station,Beijing,0,People's Republic of China (CN),1,512756.84,512756.84,0,2,One time payment
National Disaster Reduction Center of the Ministry of Civil Affairs,Beijing,0,People's Republic of China (CN),1,690000,690000,1,1,Installment payment
China Urban Planning and Design Institute,Beijing,0,People's Republic of China (CN),1,1200000,1200000,1,1,Installment payment
"Center for Earth Observation and Digital Earth Science, Chinese Academy of Sciences",Beijing,0,People's Republic of China (CN),1,1241600,1241600,1,1,Installment payment
Office of the National Disaster Risk Reduction Council,Beijing,0,People's Republic of China (CN),1,3480000,3480000,1,1,Installment payment
"Shanghai Chenlu Information Technology Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Shanghai Chenlu Information Technology Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Beijing Yisheng Health E-Commerce Co., Ltd.",Beijing,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Shanghai Qingu Network Technology Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Shanghai Qingu Network Technology Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Hangzhou Wangfa Network Information Technology Co., Ltd.",Zhejiang Province,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Hangzhou Wangfa Network Information Technology Co., Ltd.",Zhejiang Province,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Huizhou Qiaoxing Telecommunications Industry Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Huizhou Qiaoxing Telecommunications Industry Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Beijing Pocket Network Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Beijing Hexun Online Information Consulting Service Co., Ltd.",Beijing,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Beijing Qianoak Internet Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Beijing Zhichi Power Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Hangzhou Pantone Network Technology Co., Ltd.",Zhejiang Province,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Shenzhen Caixun Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Beijing Zhongwang Online Advertising Co., Ltd.",Beijing,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Beijing Jufang Advertising Co., Ltd.",Beijing,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Beijing Fengli Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Beijing Wanxuntong Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Guangzhou Aochuang Information Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Beijing Fengxing Online Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Shenzhen Tiance Interactive Advertising Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Beijing Fengyang Tianlang Advertising Co., Ltd.",Beijing,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Beijing Xinrui Guangguang Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Beijing Zhitong Wuxian Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Shanghai Freex Network Technology Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Hangzhou Ali Technology Co., Ltd.",Zhejiang Province,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Chongqing Xingge Network Technology Co., Ltd.",Chongqing,0,People's Republic of China (CN),1,0,0,1,1,Installment payment
"Beijing Kunlun Wanwei Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Shanghai Shangpai Network Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Shanghai Eos Network Technology Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Beijing Hongfan Netshen Data Network Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Beijing Sohu Donglin Advertising Co., Ltd.",Beijing,0,People's Republic of China (CN),1,0,0,1,3,commission payment
"Hangzhou Dayi Business Network Co., Ltd.",Zhejiang Province,0,People's Republic of China (CN),1,1000,1000,0,2,One time payment
"Hangzhou Dayi Business Network Co., Ltd.",Zhejiang Province,0,People's Republic of China (CN),1,1000,1000,1,3,commission payment
"Guangzhou Youzhiyi Information Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,1000,1000,0,2,One time payment
"Shenzhen Beautiful Alliance Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,1260,1260,0,2,One time payment
"Beijing Quna Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1500,1500,0,2,One time payment
"Huizhou Yixun Information Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,1500,1500,0,2,One time payment
"Shanghai Xixun Media Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,1600,1600,0,2,One time payment
"Qile Wuxian (Beijing) Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1600,1600,0,2,One time payment
"Hangzhou Dayi Business Network Co., Ltd.",Zhejiang Province,0,People's Republic of China (CN),1,2000,2000,0,2,One time payment
"Hangzhou Dayi Business Network Co., Ltd.",Zhejiang Province,0,People's Republic of China (CN),1,2000,2000,0,2,One time payment
"Xiamen Yigao Network Technology Co., Ltd.",Fujian Province,0,People's Republic of China (CN),1,2000,2000,0,2,One time payment
"Xiamen Yigao Network Technology Co., Ltd.",Fujian Province,0,People's Republic of China (CN),1,2000,2000,0,2,One time payment
"Xiamen Yigao Network Technology Co., Ltd.",Fujian Province,0,People's Republic of China (CN),1,2000,2000,0,2,One time payment
"Changzhou Dongyuan Textile Printing and Dyeing Co., Ltd.",Jiangsu Province,0,People's Republic of China (CN),1,2000,2000,1,3,commission payment
"Changzhou Dongyuan Textile Printing and Dyeing Co., Ltd.",Jiangsu Province,0,People's Republic of China (CN),1,2000,2000,1,3,commission payment
"Beijing Chuangshi Miracle Advertising Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,2000,2000,0,2,One time payment
"Zhengzhou Jiji Information Technology Co., Ltd.",Henan Province,0,People's Republic of China (CN),1,2000,2000,0,2,One time payment
"Beijing Tiantian Kuangguang Network Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,2000,2000,0,2,One time payment
"Chongqing Discourse Technology Co., Ltd.",Chongqing,0,People's Republic of China (CN),1,2000,2000,1,3,commission payment
"Beijing Tianwei Integrity E-Commerce Co., Ltd.",Beijing,0,People's Republic of China (CN),1,2000,2000,0,2,One time payment
"Beijing Wanwei Sky Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,2250,2250,1,3,commission payment
"Shenzhen Baiyi Information Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,2400,2400,0,2,One time payment
Beijing Bai Ruide Kitchen Cabinet Factory,Beijing,0,People's Republic of China (CN),1,2400,2400,0,2,One time payment
Beijing Construction Timber Factory,Beijing,0,People's Republic of China (CN),1,2400,2400,0,2,One time payment
"Shenzhen Beautiful Alliance Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,2520,2520,0,2,One time payment
"Shenzhen Beautiful Alliance Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,2520,2520,0,2,One time payment
"Shenzhen Beautiful Alliance Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,2520,2520,0,2,One time payment
"Beijing Wanwei Sky Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,2700,2700,0,2,One time payment
"Beijing Wanwei Sky Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,2700,2700,0,2,One time payment
"Beijing Wanwei Sky Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,2700,2700,0,2,One time payment
"Beijing Wanwei Sky Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,2700,2700,0,2,One time payment
Anhui Paimeng Investment Group,Anhui Province,0,People's Republic of China (CN),1,2700,2700,0,2,One time payment
"Nanjing Xiangwang Network Technology Co., Ltd.",Jiangsu Province,0,People's Republic of China (CN),1,2700,2700,0,2,One time payment
"Nanjing Xiangwang Network Technology Co., Ltd.",Jiangsu Province,0,People's Republic of China (CN),1,2700,2700,1,3,commission payment
"Beijing Ruibo Yangxin International Culture Media Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,2700,2700,0,2,One time payment
"Emeishan Tourism Co., Ltd.",Sichuan Province,0,People's Republic of China (CN),1,2888,2888,1,3,commission payment
"Nanning April Network Technology Co., Ltd.",Guangxi Zhuang Autonomous Region,0,People's Republic of China (CN),1,2888,2888,0,2,One time payment
Guangzhou Distance Education Center,Guangdong Province,0,People's Republic of China (CN),1,2888,2888,0,2,One time payment
"Beijing Dongtian Education Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,2888,2888,0,2,One time payment
"Beijing Tangyou Advertising Co., Ltd.",Beijing,0,People's Republic of China (CN),1,2888,2888,0,2,One time payment
"Suzhou Zhifu Yingxing Information Technology Co., Ltd.",Jiangsu Province,0,People's Republic of China (CN),1,2888,2888,0,2,One time payment
"Suzhou Junyue Travel Agency Co., Ltd.",Jiangsu Province,0,People's Republic of China (CN),1,2888,2888,0,2,One time payment
"Suzhou Tangren Digital Technology Co., Ltd.",Jiangsu Province,0,People's Republic of China (CN),1,2888,2888,0,2,One time payment
"Beijing Wanguo Fayuan Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,2888,2888,0,2,One time payment
"Shanghai Giant Network Technology Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,2888,2888,0,2,One time payment
"Wangda Advertising Media (Shanghai) Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,2888,2888,0,2,One time payment
"Beijing Dixin Xintian Trading Co., Ltd.",Beijing,0,People's Republic of China (CN),1,2888,2888,0,2,One time payment
"Shijian International Trading (Shanghai) Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,2888,2888,0,2,One time payment
Jiangsu Radio and Television Station (Group) Jiangsu Radio and Television Website,Jiangsu Province,0,People's Republic of China (CN),1,2888,2888,0,2,One time payment
"Beijing Wuzunwu Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,3000,3000,0,2,One time payment
"Beijing Guotong Kexin Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,3000,3000,0,2,One time payment
"Athletic World (Beijing) Network Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,3000,3000,0,2,One time payment
"Athletic World (Beijing) Network Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,3000,3000,0,2,One time payment
"Hangzhou Meike Digital Network Technology Co., Ltd.",Zhejiang Province,0,People's Republic of China (CN),1,3000,3000,0,2,One time payment
"Tianjin Haidian Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,3000,3000,0,2,One time payment
"Beijing Absolute One Hundred Network Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,3200,3200,0,2,One time payment
"Beijing 103 Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,3540,3540,0,2,One time payment
"Beijing Xinrui Online Advertising Co., Ltd.",Beijing,0,People's Republic of China (CN),1,3600,3600,0,2,One time payment
"Beijing Yiow Network Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,4200,4200,0,2,One time payment
"Zhuhai Zhongdaxin Network Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,4500,4500,0,2,One time payment
"Weihai Hairun Textile and Garment Co., Ltd.",Shandong Province,1,People's Republic of China (CN),1,4500,4500,1,1,Installment payment
"Shanghai Pangrong Computer Technology Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,4500,4500,0,2,One time payment
Anhui Paimeng Investment Group,Anhui Province,0,People's Republic of China (CN),1,4950,4950,0,2,One time payment
"Shenzhen Caixun Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,4956,4956,0,2,One time payment
"Shanghai Qingu Network Technology Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,5000,5000,0,2,One time payment
"Hangzhou Pantone Network Technology Co., Ltd.",Zhejiang Province,0,People's Republic of China (CN),1,5000,5000,0,2,One time payment
"Beijing Herui Times Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,5000,5000,0,2,One time payment
"Beijing Zhongruitong Communication Equipment Co., Ltd.",Beijing,0,People's Republic of China (CN),1,5100,5100,0,2,One time payment
"Beijing Wanwei Sky Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,5400,5400,0,2,One time payment
"Beijing Wanwei Sky Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,5400,5400,0,2,One time payment
"Beijing Wanwei Sky Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,5400,5400,0,2,One time payment
"Beijing Wanwei Sky Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,5400,5400,0,2,One time payment
"Beijing Wanwei Sky Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,5400,5400,0,2,One time payment
"Beijing Wanwei Sky Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,5400,5400,0,2,One time payment
"Beijing Wanwei Sky Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,5400,5400,0,2,One time payment
"Beijing Wanwei Sky Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,5400,5400,0,2,One time payment
"Beijing Wanwei Sky Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,5400,5400,0,2,One time payment
"Beijing Wanwei Sky Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,5400,5400,0,2,One time payment
"Beijing Wanwei Sky Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,5400,5400,0,2,One time payment
"Beijing Wanwei Sky Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,5400,5400,0,2,One time payment
"Beijing Wanwei Sky Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,5400,5400,0,2,One time payment
"Beijing Wanwei Sky Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,5400,5400,0,2,One time payment
"Shenzhen Beautiful Alliance Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,5400,5400,0,2,One time payment
"Shanghai Xinghuo Information Technology Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,5400,5400,0,2,One time payment
"Zhuhai Zhongda Information Network Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,5500,5500,0,2,One time payment
"Zhuhai Zhongdaxin Network Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,5500,5500,0,2,One time payment
"Zhuhai Zhongdaxin Network Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,5500,5500,0,2,One time payment
"Zhuhai Zhongdaxin Network Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,5500,5500,0,2,One time payment
"Zhuhai Zhongdaxin Network Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,5500,5500,0,2,One time payment
"Beijing Yiow Network Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,5600,5600,0,2,One time payment
"Shanghai Chenlu Information Technology Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,6000,6000,0,2,One time payment
"Shanghai Chenlu Information Technology Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,6000,6000,0,2,One time payment
"Hangzhou Dayi Business Network Co., Ltd.",Zhejiang Province,0,People's Republic of China (CN),1,6000,6000,1,1,Installment payment
"Hangzhou Dayi Business Network Co., Ltd.",Zhejiang Province,0,People's Republic of China (CN),1,6000,6000,1,1,Installment payment
"Changzhou Dongyuan Textile Printing and Dyeing Co., Ltd.",Jiangsu Province,0,People's Republic of China (CN),1,6000,6000,1,3,commission payment
"Dah Sing Bank (China) Co., Ltd.",Guangdong Province,1,People's Republic of China (CN),1,6000,6000,0,2,One time payment
"Beijing Zhichi Power System Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,6000,6000,0,2,One time payment
"Hangzhou Bister Technology Co., Ltd.",Zhejiang Province,0,People's Republic of China (CN),1,6000,6000,0,2,One time payment
"Guangzhou Shuixun Information Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,6000,6000,0,2,One time payment
"Hangzhou Diangao Network Technology Co., Ltd.",Zhejiang Province,0,People's Republic of China (CN),1,6000,6000,0,2,One time payment
"Beijing Feixiangren Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,6300,6300,0,2,One time payment
"Hua Xia Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,7500,7500,0,2,One time payment
"Airlock Building Materials (Beijing) Co., Ltd.",Beijing,0,People's Republic of China (CN),1,7600,7600,0,2,One time payment
"Beijing Century Van Gogh Trading Co., Ltd.",Beijing,0,People's Republic of China (CN),1,7600,7600,0,2,One time payment
Beijing Yinghai Hongqida Protective Window Factory,Beijing,0,People's Republic of China (CN),1,7600,7600,0,2,One time payment
"Guangzhou Youzhiyi Information Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,8000,8000,0,2,One time payment
"Beijing Guotong Kexin Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,8000,8000,0,2,One time payment
