time,amount,internalization,outsourcing,if the sitting date time after 2006,if the buyer is a bank,export,export to OECD,if the buyer is a chinese organization,classification of the buyer,Seller Category B,if the seller is a wholly foreign-owned company,if the seller is a wholly chinese company, if the buyer is a joint venture,classification of the seller,if the seller belongs to IT industry,Technical field B,if the outcome is a patent,if the outcome is a know-hnw,if the outcome with no IP,knowstyle,Intellectual property B,if the project is a R&D mission, if the project is a technical consultation,it the project is an IP exchange,classification of the contract,Contract type B,socioeconomic goals,Turnover,money,installment,paystyle,payment method,Is the seller a central institution in Beijing?,Is it an intermediary service organization?,Transformed enterprise
334d,1,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,37300,37300,0,2,One time payment,no,no,no
364d,1,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,132500,132500,0,2,One time payment,no,no,no
79d,1,0,1,1,0,0,0,1,2,foreign-invested enterprises,0,0,1,1,0,High efficiency and energy saving technology,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,other,146868,146868,0,2,One time payment,no,no,no
364d,1,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,156200,156200,0,2,One time payment,no,no,no
212d,1,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,civil space,200000,200000,1,1,Installment payment,no,no,no
181d,3,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,civil space,450000,450000,1,1,Installment payment,no,no,no
475d,3,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,600000,600000,1,1,Installment payment,no,no,no
325d,3,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,civil space,2000000,2000000,1,1,Installment payment,no,no,no
382d,7,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,144400,144400,1,1,Installment payment,no,no,no
211d,3,1,0,1,0,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,civil space,53528.67,53528.67,0,2,One time payment,no,no,no
364d,2,1,0,1,0,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,other,170485,170485,0,2,One time payment,no,no,no
184d,2,0,1,1,0,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,civil space,284900,284900,1,1,Installment payment,no,no,no
364d,3,1,0,1,0,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,civil space,310000,310000,0,2,One time payment,no,no,no
211d,1,1,0,1,0,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,civil space,315000,315000,0,2,One time payment,no,no,no
685d,2,1,0,1,0,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,civil space,470000,470000,1,1,Installment payment,no,no,no
181d,1,1,0,1,0,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,computer software,0,1,0,3,technical secrets,0,0,1,3,Transfer of technical secrets,other,527100,527100,0,2,One time payment,no,no,no
365d,1,0,1,1,0,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,civil space,550000,550000,0,2,One time payment,no,no,no
364d,2,1,0,1,0,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,other,681714,681714,0,2,One time payment,no,no,no
531d,3,1,0,1,0,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,other,1,0,0,2,computer software,1,0,0,2,Commissioned development,civil space,700000,700000,1,1,Installment payment,no,no,no
592d,1,1,0,1,0,1,0,0,3,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,civil space,805600,805600,1,1,Installment payment,no,no,no
364d,1,1,0,1,0,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,civil space,966000,966000,1,1,Installment payment,no,no,no
714d,2,1,0,1,0,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,civil space,1170000,1170000,1,1,Installment payment,no,no,no
91d,2,0,1,1,0,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,other,1209222,1209222,0,2,One time payment,no,no,no
366d,1,1,0,1,0,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,civil space,1344000,1344000,1,1,Installment payment,no,no,no
730d,1,1,0,1,0,1,0,0,3,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,computer software,1,0,0,2,cooperative development,social development and social services,1561740,1561740,1,1,Installment payment,no,no,no
1825d,4,1,0,1,0,1,1,0,3,foreign-invested enterprises,0,0,1,3,1,other,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,2957046,2957046,1,1,Installment payment,no,no,no
366d,3,1,0,1,0,1,1,0,3,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,other,3008880,3008880,1,1,Installment payment,no,no,no
366d,4,1,0,1,0,1,1,0,3,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,3077920,3077920,1,1,Installment payment,no,no,no
365d,3,1,0,1,0,1,1,0,3,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,other,3320550,3320550,1,1,Installment payment,no,no,no
365d,2,1,0,1,0,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,Digital audio and video technology,0,1,0,3,technical secrets,1,0,0,2,Commissioned development,social development and social services,3700000,3700000,1,1,Installment payment,no,no,no
507d,8,1,0,1,0,1,1,0,3,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,development of knowledge,4206125,4206125,1,1,Installment payment,no,no,no
365d,8,1,0,1,0,1,1,0,3,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,development of knowledge,4640000,4598864,1,1,Installment payment,no,no,no
486d,8,1,0,1,0,1,1,0,3,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,development of knowledge,4960000,4960000,1,3,commission payment,no,no,no
333d,2,1,0,1,0,1,1,0,3,foreign-invested enterprises,0,0,1,1,0,Automation machinery and equipment technology,0,1,0,3,technical secrets,1,0,0,2,Commissioned development,social development and social services,5250000,5250000,0,2,One time payment,no,no,no
417d,2,1,0,1,0,1,1,0,3,foreign-invested enterprises,0,0,1,1,0,Automation machinery and equipment technology,0,1,0,3,technical secrets,1,0,0,2,Commissioned development,social development and social services,5771641.5,5771641.5,0,2,One time payment,no,no,no
91d,19,1,0,1,0,1,1,0,3,foreign-invested enterprises,0,0,1,3,0,"Microelectronics, optoelectronics technology",0,1,0,3,technical secrets,1,0,0,2,Commissioned development,civil space,6480000,6480000,1,1,Installment payment,no,no,no
91d,19,1,0,1,0,1,1,0,3,foreign-invested enterprises,0,0,1,3,0,"Microelectronics, optoelectronics technology",0,1,0,3,technical secrets,1,0,0,2,Commissioned development,civil space,6600000,6600000,1,1,Installment payment,no,no,no
334d,19,1,0,1,0,1,1,0,3,foreign-invested enterprises,0,0,1,3,0,"Microelectronics, optoelectronics technology",1,0,0,2,Patent,1,0,0,2,Commissioned development,Promote industrial development,6829100,6829100,1,1,Installment payment,no,no,no
334d,19,1,0,1,0,1,1,0,3,foreign-invested enterprises,0,0,1,3,0,"Microelectronics, optoelectronics technology",1,0,0,2,Patent,1,0,0,2,Commissioned development,Promote industrial development,6829100,6829100,1,1,Installment payment,no,no,no
334d,19,1,0,1,0,1,1,0,3,foreign-invested enterprises,0,0,1,3,0,"Microelectronics, optoelectronics technology",1,0,0,2,Patent,1,0,0,2,Commissioned development,Promote industrial development,6829100,6829100,1,1,Installment payment,no,no,no
180d,19,1,0,1,0,1,1,0,3,foreign-invested enterprises,0,0,1,3,0,"Microelectronics, optoelectronics technology",0,1,0,3,technical secrets,1,0,0,2,Commissioned development,civil space,7992000,7992000,1,1,Installment payment,no,no,no
1095d,2,1,0,1,0,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,Digital audio and video technology,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,8000000,8000000,1,1,Installment payment,no,no,no
730d,8,1,0,1,0,1,1,0,3,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,development of knowledge,8601894,8601894,1,3,commission payment,no,no,no
729d,8,1,0,1,0,1,1,0,3,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,development of knowledge,8818053,8818053,1,3,commission payment,no,no,no
356d,8,1,0,1,0,1,1,0,3,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,development of knowledge,9344412,9344412,1,1,Installment payment,no,no,no
730d,8,1,0,1,0,1,1,0,3,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,9468976,9468976,1,3,commission payment,no,no,no
730d,8,1,0,1,0,1,1,0,3,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,development of knowledge,9600000,9558864,1,1,Installment payment,no,no,no
240d,19,1,0,1,0,1,1,0,3,foreign-invested enterprises,0,0,1,3,0,"Microelectronics, optoelectronics technology",0,1,0,3,technical secrets,1,0,0,2,Commissioned development,Promote industrial development,9581040,9581040,1,1,Installment payment,no,no,no
364d,9,1,0,0,0,1,1,0,3,foreign-invested enterprises,1,0,0,2,0,computer software,0,1,0,3,technical secrets,1,0,0,2,Commissioned development,social development and social services,147362000,147362000,0,2,One time payment,no,no,no
364d,9,1,0,1,0,1,1,0,3,foreign-invested enterprises,1,0,0,2,0,computer software,0,1,0,3,technical secrets,1,0,0,2,Commissioned development,social development and social services,188600000,188600000,0,2,One time payment,no,no,no
364d,9,1,0,1,0,1,1,0,3,foreign-invested enterprises,1,0,0,2,0,computer software,0,1,0,3,technical secrets,1,0,0,2,Commissioned development,social development and social services,260000000,260000000,0,2,One time payment,no,no,no
364d,9,1,0,1,0,1,1,0,3,foreign-invested enterprises,1,0,0,2,0,computer software,0,1,0,3,technical secrets,1,0,0,2,Commissioned development,social development and social services,1000000000,1000000000,1,3,commission payment,no,no,no
365d,9,1,0,1,0,1,1,0,3,foreign-invested enterprises,1,0,0,2,0,computer software,0,1,0,3,technical secrets,1,0,0,2,Commissioned development,social development and social services,1400000000,1400000000,1,3,commission payment,no,no,no
364d,9,1,0,1,0,1,1,0,3,foreign-invested enterprises,1,0,0,2,0,computer software,0,1,0,3,technical secrets,1,0,0,2,Commissioned development,social development and social services,1453400000,1453400000,1,3,commission payment,no,no,no
364d,9,1,0,1,0,1,1,0,3,foreign-invested enterprises,1,0,0,2,0,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1634568610,1634568610,1,3,commission payment,no,no,no
479d,2,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,33000,30000,0,2,One time payment,no,no,no
483d,7,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,51750,51750,0,2,One time payment,no,no,no
364d,1,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,57000,57000,0,2,One time payment,no,no,no
526d,1,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,66700,66700,1,1,Installment payment,no,no,no
365d,1,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,civil space,80000,80000,0,2,One time payment,no,no,no
157d,7,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,90000,90000,0,2,One time payment,no,no,no
157d,7,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,93150,93150,0,2,One time payment,no,no,no
352d,1,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,100000,100000,0,2,One time payment,no,no,no
364d,1,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,104000,104000,0,2,One time payment,no,no,no
358d,1,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,112320,112320,0,2,One time payment,no,no,no
442d,1,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,120000,120000,1,1,Installment payment,no,no,no
354d,1,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,129300,129300,1,1,Installment payment,no,no,no
632d,2,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,civil space,130000,130000,0,2,One time payment,no,no,no
364d,1,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,148700,148700,0,2,One time payment,no,no,no
377d,1,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,172500,172500,1,1,Installment payment,no,no,no
655d,1,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,174700,174700,1,1,Installment payment,no,no,no
1300d,7,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,200000,200000,0,2,One time payment,no,no,no
364d,1,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,207000,207000,0,2,One time payment,no,no,no
182d,2,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,civil space,228998.34,228998.34,0,2,One time payment,no,no,no
548d,2,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,240000,240000,1,1,Installment payment,no,no,no
538d,2,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,281700,281700,1,1,Installment payment,no,no,no
365d,1,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,300000,300000,0,2,One time payment,no,no,no
145d,3,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,civil space,312260.33,312260.33,0,2,One time payment,no,no,no
415d,1,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,315500,315500,1,1,Installment payment,no,no,no
357d,1,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,347220,347220,1,1,Installment payment,no,no,no
305d,7,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,civil space,350000,350000,1,1,Installment payment,no,no,no
176d,1,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,civil space,356318.3,356318.3,0,2,One time payment,no,no,no
540d,3,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,civil space,359000,359000,0,2,One time payment,no,no,no
364d,2,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,479882,479882,1,1,Installment payment,no,no,no
274d,2,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,civil space,512756.84,512756.84,0,2,One time payment,no,no,no
1126d,7,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,civil space,690000,690000,1,1,Installment payment,no,no,no
1096d,1,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,1200000,1200000,1,1,Installment payment,no,no,no
364d,3,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,civil space,1241600,1241600,1,1,Installment payment,no,no,no
1095d,1,0,1,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,civil space,3480000,3480000,1,1,Installment payment,no,no,no
152d,6,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,0,0,1,3,commission payment,no,no,no
113d,6,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,0,0,1,3,commission payment,no,no,no
1095d,4,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,0,0,1,3,commission payment,no,no,no
28d,4,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,0,0,1,3,commission payment,no,no,no
90d,4,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,0,0,1,3,commission payment,no,no,no
365d,3,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,0,0,1,3,commission payment,no,no,no
211d,3,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,0,0,1,3,commission payment,no,no,no
730d,2,0,1,0,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,technical secrets,0,0,1,3,Transfer of technical secrets,Promote industrial development,0,0,1,3,commission payment,no,no,no
730d,2,0,1,0,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,technical secrets,0,0,1,3,Transfer of technical secrets,Promote industrial development,0,0,1,3,commission payment,no,no,no
729d,2,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,communication technology,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,infrastructure development,0,0,1,3,commission payment,no,no,no
29d,2,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,computer network,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,0,0,1,3,commission payment,no,no,no
205d,2,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,0,0,1,3,commission payment,no,no,no
364d,2,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,0,0,1,3,commission payment,no,no,no
364d,2,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,0,0,1,3,commission payment,no,no,no
364d,2,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,0,0,1,3,commission payment,no,no,no
199d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,computer network,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,0,0,1,3,commission payment,no,no,no
364d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,computer network,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,0,0,1,3,commission payment,no,no,no
248d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,0,0,1,3,commission payment,no,no,no
365d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,0,0,1,3,commission payment,no,no,no
182d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,0,0,1,3,commission payment,no,no,no
31d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,0,0,1,3,commission payment,no,no,no
365d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,0,0,1,3,commission payment,no,no,no
914d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,computer network,0,1,0,3,technical secrets,1,0,0,2,Commissioned development,social development and social services,0,0,1,3,commission payment,no,no,no
365d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,0,0,1,3,commission payment,no,no,no
92d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,0,0,1,3,commission payment,no,no,no
60d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,0,0,1,3,commission payment,no,no,no
214d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,0,0,1,3,commission payment,no,no,no
92d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,0,0,1,1,Installment payment,no,no,no
364d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,0,0,1,3,commission payment,no,no,no
365d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,0,0,1,3,commission payment,no,no,no
365d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,0,0,1,3,commission payment,no,no,no
