contract number,date of sitting,time,delivery date,amount,internalization,outsourcing,if the sitting date time after 2006,year,date of declaration,name of the project,name of the buyer,location of the buyer,if the buyer is a bank,export,export to OECD,the buyer's country,if the buyer is a chinese organization,classification of the buyer,Buyer Category B,Buyer Category C,name of the seller,Seller Category A,Seller Category B,if the seller is a wholly foreign-owned company,if the seller is a wholly chinese company, if the buyer is a joint venture,classification of the seller,Seller Category C,Seller ownership,if the seller belongs to IT industry,Technical field A,Technical field B,if the outcome is a patent,if the outcome is a know-hnw,if the outcome with no IP,knowstyle,Intellectual Property A,Intellectual property B,if the project is a R&D mission, if the project is a technical consultation,it the project is an IP exchange,classification of the contract,Contract type A,Contract type B,Plan Category A,Plan Category B,socioeconomic goals,Turnover,money,installment,paystyle,payment method,Seller registration number,Seller organization number,Is the seller a central institution in Beijing?,Is it an intermediary service organization?,Transformed enterprise
2010110032001102,2009-10-29,334d,2010-09-28,1,0,1,1,2010,1/28/10,satellite data service,Wuhan University,hubei province,0,0,0,People's Republic of China (CN),1,2,institutions of higher learning,Business legal person,"Beijing Bosike Space Information Technology Co., Ltd.",Corporate,foreign-invested enterprises,1,0,0,2,Foreign companies,"Information transmission, computer services and software industry",1,Electronics and Information Technology,other,0,0,1,1,No intellectual property rights involved,No intellectual property rights involved,0,1,0,1,Technical Services,General technical services,Out of plan,Out of plan,civil space,37300,37300,0,2,One time payment,01,00,no,no,no
2010110032001104,2009-10-09,364d,2010-10-08,1,0,1,1,2010,1/28/10,ALOS satellite data service,Northeast Normal University,Jilin Province,0,0,0,People's Republic of China (CN),1,2,institutions of higher learning,Business legal person,"Beijing Bosike Space Information Technology Co., Ltd.",Corporate,foreign-invested enterprises,1,0,0,2,Foreign companies,"Information transmission, computer services and software industry",1,Electronics and Information Technology,other,0,0,1,1,No intellectual property rights involved,No intellectual property rights involved,0,1,0,1,Technical Services,General technical services,Out of plan,Out of plan,civil space,132500,132500,0,2,One time payment,01,00,no,no,no
2009110025000021,2009-02-10,79d,2009-04-30,1,0,1,1,2009,3/10/09,Intelligent system energy-saving design for demolition and construction projects of Jiangxi Electric Power Research Institute,Jiangxi Electric Power Research Institute,Jiangxi Province,0,0,0,People's Republic of China (CN),1,2,institutions of higher learning,Business branches,"Beijing Taihao Intelligent Technology Co., Ltd.",Corporate,foreign-invested enterprises,0,0,1,1,Sino-foreign joint venture,"Water, environment and public facilities management",0,New energy and high efficiency and energy saving,High efficiency and energy saving technology,0,0,1,1,No intellectual property rights involved,No intellectual property rights involved,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,other,146868,146868,0,2,One time payment,1007,1101,no,no,no
2010110032001100,2009-12-17,364d,2010-12-16,1,0,1,1,2010,1/28/10,Remote sensing satellite data service,Xi'an University of Electronic Science and Technology,Shaanxi Province,0,0,0,People's Republic of China (CN),1,2,institutions of higher learning,Business legal person,"Beijing Bosike Space Information Technology Co., Ltd.",Corporate,foreign-invested enterprises,1,0,0,2,Foreign companies,"Information transmission, computer services and software industry",1,Electronics and Information Technology,other,0,0,1,1,No intellectual property rights involved,No intellectual property rights involved,0,1,0,1,Technical Services,General technical services,Out of plan,Out of plan,civil space,156200,156200,0,2,One time payment,01,00,no,no,no
2007110032019699,2007-06-01,212d,2007-12-30,1,0,1,1,2007,12/11/07,Jinshajiang Geological Hazard Investigation and Interpretation Software,University of Science and Technology Beijing,Beijing,0,0,0,People's Republic of China (CN),1,2,institutions of higher learning,Business legal person,"Beijing Bosike Space Information Technology Co., Ltd.",Corporate,foreign-invested enterprises,1,0,0,2,Foreign companies,"Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,1,0,0,2,computer software,computer software,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,civil space,200000,200000,1,1,Installment payment,01,00,no,no,no
2008110032007006,2008-01-01,181d,2008-06-30,3,0,1,1,2008,4/22/08,Development of Beijing Ecological Resources Remote Sensing Measurement Operation System,Beijing Normal University,Beijing,0,0,0,People's Republic of China (CN),1,2,institutions of higher learning,Business legal person,"Beijing Bosike Space Information Technology Co., Ltd.",Corporate,foreign-invested enterprises,1,0,0,2,Foreign companies,"Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,1,0,0,2,computer software,computer software,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,civil space,450000,450000,1,1,Installment payment,01,00,no,no,no
2011110032001650,2010-03-12,475d,2011-06-30,3,0,1,1,2011,1/25/11,ALOS Satellite Data Service Contract,Beijing Normal University,Beijing,0,0,0,People's Republic of China (CN),1,2,institutions of higher learning,Business legal person,"Beijing Bosike Space Information Technology Co., Ltd.",Corporate,foreign-invested enterprises,1,0,0,2,Foreign companies,"Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,0,0,1,1,No intellectual property rights involved,No intellectual property rights involved,0,1,0,1,Technical Services,General technical services,Out of plan,Out of plan,civil space,600000,600000,1,1,Installment payment,01,00,no,no,no
2009110032000627,2008-12-10,325d,2009-10-31,3,0,1,1,2009,1/6/09,Development of crop planting area remote sensing measurement and yield estimation system,Beijing Normal University,Beijing,0,0,0,People's Republic of China (CN),1,2,institutions of higher learning,Business legal person,"Beijing Bosike Space Information Technology Co., Ltd.",Corporate,foreign-invested enterprises,1,0,0,2,Foreign companies,"Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,1,0,0,2,computer software,computer software,1,0,0,2,technology development,Commissioned development,national plan,Project 863,civil space,2000000,2000000,1,1,Installment payment,01,00,no,no,no
2011110032000215,2010-06-13,382d,2011-06-30,7,0,1,1,2010,12/29/10,Satellite data technology services,National Disaster Reduction Center of the Ministry of Civil Affairs,Beijing,0,0,0,People's Republic of China (CN),1,2,national administrative agencies,Nig,"Beijing Bosike Space Information Technology Co., Ltd.",Corporate,foreign-invested enterprises,1,0,0,2,Foreign companies,"Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,0,0,1,1,No intellectual property rights involved,No intellectual property rights involved,0,1,0,1,Technical Services,General technical services,Out of plan,Out of plan,civil space,144400,144400,1,1,Installment payment,01,00,no,no,no
2008110032002479,2007-08-01,211d,2008-02-28,3,1,0,1,2008,1/29/08,LogiSTAR vehicle distribution management system development,"Pasco Systems Division, Co., Ltd.",,0,1,1,Japan(JP),0,3,Overseas enterprises,Foreign companies,"Beijing Bosike Space Information Technology Co., Ltd.",Corporate,foreign-invested enterprises,1,0,0,2,Foreign companies,"Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,1,0,0,2,computer software,computer software,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,civil space,53528.67,53528.67,0,2,One time payment,01,00,no,no,no
2006110032021022,2006-04-06,364d,2007-04-05,2,1,0,1,2006,12/21/06,GeoAccess Spatial Database Engine development,"Bosco Co., Ltd.",,0,1,1,Japan(JP),0,3,Overseas enterprises,Foreign companies,"Beijing Bosike Space Information Technology Co., Ltd.",Corporate,foreign-invested enterprises,1,0,0,2,Foreign companies,"Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,0,0,1,1,No intellectual property rights involved,No intellectual property rights involved,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,other,170485,170485,0,2,One time payment,01,00,no,no,no
2007110032011102,2007-04-30,184d,2007-10-31,2,0,1,1,2007,8/6/07,Development of Japanese radio wave propagation analysis data platform system based on ARCGIS,"Tokyo Digital Map Co., Ltd.",,0,1,1,Japan(JP),0,3,Overseas enterprises,Foreign companies,"Beijing Bosike Space Information Technology Co., Ltd.",Corporate,foreign-invested enterprises,1,0,0,2,Foreign companies,"Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,0,0,1,1,No intellectual property rights involved,No intellectual property rights involved,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,civil space,284900,284900,1,1,Installment payment,01,00,no,no,no
2007110032019704,2006-12-26,364d,2007-12-25,3,1,0,1,2007,12/7/07,VRmap OEM tool development,"Pasco Systems Division, Co., Ltd.",,0,1,1,Japan(JP),0,3,Overseas enterprises,Foreign companies,"Beijing Bosike Space Information Technology Co., Ltd.",Corporate,foreign-invested enterprises,1,0,0,2,Foreign companies,"Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,1,0,0,2,computer software,computer software,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,civil space,310000,310000,0,2,One time payment,01,00,no,no,no
2007110032022178,2007-08-01,211d,2008-02-28,1,1,0,1,2007,12/24/07,Terrain data compilation software development,"PASCO Co., Ltd. Strategic Planning Department",,0,1,1,Japan(JP),0,3,Overseas enterprises,Foreign companies,"Beijing Bosike Space Information Technology Co., Ltd.",Corporate,foreign-invested enterprises,1,0,0,2,Foreign companies,"Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,1,0,0,2,computer software,computer software,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,civil space,315000,315000,0,2,One time payment,01,00,no,no,no
2007110032019700,2006-11-15,685d,2008-09-30,2,1,0,1,2007,12/7/07,Development of automatic detection system for building image changes,"Pasco Research and Development Center Co., Ltd.",,0,1,1,Japan(JP),0,3,Overseas enterprises,Foreign companies,"Beijing Bosike Space Information Technology Co., Ltd.",Corporate,foreign-invested enterprises,1,0,0,2,Foreign companies,"Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,1,0,0,2,computer software,computer software,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,civil space,470000,470000,1,1,Installment payment,01,00,no,no,no
2009110020000726,2009-10-29,181d,2010-04-28,1,1,0,1,2009,11/10/09,software transfer contract,"DeNA Co., Ltd.",,0,1,1,Japan(JP),0,3,Overseas enterprises,Foreign companies,"Beijing Dena Network Technology Co., Ltd.",Corporate,foreign-invested enterprises,1,0,0,2,Foreign companies,"Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,0,1,0,3,technical secrets,technical secrets,0,0,1,3,technology transfer,Transfer of technical secrets,Out of plan,Out of plan,other,527100,527100,0,2,One time payment,1001,1101,no,no,no
2007110032019703,2007-02-12,365d,2008-02-12,1,0,1,1,2007,12/7/07,3D Data conversion tool technology development,3D Data conversion tool technology development,,0,1,1,Japan(JP),0,3,Overseas enterprises,Foreign companies,"Beijing Bosike Space Information Technology Co., Ltd.",Corporate,foreign-invested enterprises,1,0,0,2,Foreign companies,"Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,1,0,0,2,computer software,computer software,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,civil space,550000,550000,0,2,One time payment,01,00,no,no,no
2006110032021023,2006-07-10,364d,2007-07-09,2,1,0,1,2006,12/21/06,Development of SECOM MAP spatial information online retrieval system,"Bosco Co., Ltd.",,0,1,1,Japan(JP),0,3,Overseas enterprises,Foreign companies,"Beijing Bosike Space Information Technology Co., Ltd.",Corporate,foreign-invested enterprises,1,0,0,2,Foreign companies,"Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,0,0,1,1,No intellectual property rights involved,No intellectual property rights involved,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,other,681714,681714,0,2,One time payment,01,00,no,no,no
2010110032019690,2010-01-15,531d,2011-06-30,3,1,0,1,2010,12/27/10,MPGIS market analysis system,"PASCO System Division, Co., Ltd.",,0,1,1,Japan(JP),0,3,Overseas enterprises,Foreign companies,"Beijing Bosike Space Information Technology Co., Ltd.",Corporate,foreign-invested enterprises,1,0,0,2,Foreign companies,"Information transmission, computer services and software industry",1,Electronics and Information Technology,other,1,0,0,2,computer software,computer software,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,civil space,700000,700000,1,1,Installment payment,01,00,no,no,no
2009110032015400,2008-11-15,592d,2010-06-30,1,1,0,1,2009,11/17/09,Building data classification production and statistical software development,"PASCO Co., Ltd. Disaster Prevention Technology Department",,0,1,0,Myanmar(MM),0,3,Overseas enterprises,Foreign companies,"Beijing Bosike Space Information Technology Co., Ltd.",Corporate,foreign-invested enterprises,1,0,0,2,Foreign companies,"Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,1,0,0,2,computer software,computer software,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,civil space,805600,805600,1,1,Installment payment,01,00,no,no,no
2007110032011103,2006-10-16,364d,2007-10-15,1,1,0,1,2007,8/6/07,Development of 3D data production tools,Bosco Technology General Headquarters Remote Sensing Technology Department,,0,1,1,Japan(JP),0,3,Overseas enterprises,Foreign companies,"Beijing Bosike Space Information Technology Co., Ltd.",Corporate,foreign-invested enterprises,1,0,0,2,Foreign companies,"Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,0,0,1,1,No intellectual property rights involved,No intellectual property rights involved,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,civil space,966000,966000,1,1,Installment payment,01,00,no,no,no
2010110032019688,2009-11-15,714d,2011-10-30,2,1,0,1,2010,12/27/10,Development of a system that automatically determines the degree of damage to a building using single-screen analysis,"PASCO Research and Development Center Co., Ltd.",,0,1,1,Japan(JP),0,3,Overseas enterprises,Foreign companies,"Beijing Bosike Space Information Technology Co., Ltd.",Corporate,foreign-invested enterprises,1,0,0,2,Foreign companies,"Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,1,0,0,2,computer software,computer software,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,civil space,1170000,1170000,1,1,Installment payment,01,00,no,no,no
2006110032021025,2006-10-01,91d,2006-12-31,2,0,1,1,2006,12/21/06,Development of Japanese residential 3D image processing system,"Tokyo Digital Map Co., Ltd.",,0,1,1,Japan(JP),0,3,Overseas enterprises,Foreign companies,"Beijing Bosike Space Information Technology Co., Ltd.",Corporate,foreign-invested enterprises,1,0,0,2,Foreign companies,"Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,0,0,1,1,No intellectual property rights involved,No intellectual property rights involved,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,other,1209222,1209222,0,2,One time payment,01,00,no,no,no
2008110032007310,2007-10-15,366d,2008-10-15,1,1,0,1,2008,4/28/08,3D data processing software development,"PASCO Co., Ltd. International Strategy Office",,0,1,1,Japan(JP),0,3,Overseas enterprises,Foreign companies,"Beijing Bosike Space Information Technology Co., Ltd.",Corporate,foreign-invested enterprises,1,0,0,2,Foreign companies,"Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,1,0,0,2,computer software,computer software,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,civil space,1344000,1344000,1,1,Installment payment,01,00,no,no,no
2007110007000018,2006-11-06,730d,2008-11-05,1,1,0,1,2007,4/26/07,"3D avatar, game lobby, gold coin system development","GameHub Incorporated(Game Hub Co., Ltd.)",,0,1,0,Europe Others,0,3,Overseas enterprises,Foreign companies,"Beijing Botianyi Technology Co., Ltd.",Corporate,foreign-invested enterprises,0,0,1,3,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,1,0,0,2,computer software,computer software,1,0,0,2,technology development,cooperative development,Out of plan,Out of plan,social development and social services,1561740,1561740,1,1,Installment payment,00,00,no,no,no
2007110022000016,2007-01-26,1825d,2012-01-25,4,1,0,1,2007,2/2/07,SECO BI system development project,Hinge Global Resources Inc.,,0,1,1,United States(US),0,3,Overseas enterprises,Foreign companies,"Beijing Daoda Technology Co., Ltd. bjh",Corporate,foreign-invested enterprises,0,0,1,3,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",1,Urban construction and social development,other,1,0,0,2,computer software,computer software,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,social development and social services,2957046,2957046,1,1,Installment payment,04,00,no,no,no
2007110022000280,2007-09-14,366d,2008-09-14,3,1,0,1,2007,10/29/07,Pfizer Global Product Registration System,"Double Bridge Technologies,Inc.",,0,1,1,United States(US),0,3,Overseas enterprises,Foreign companies,"Beijing Daoda Technology Co., Ltd. bjh",Corporate,foreign-invested enterprises,0,0,1,3,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,1,0,0,2,computer software,computer software,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,other,3008880,3008880,1,1,Installment payment,04,00,no,no,no
2007110022000118,2007-05-15,366d,2008-05-15,4,1,0,1,2007,6/1/07,U.S. Federal Reserve Bank BI Project,Hinge Global Resources Inc.,,0,1,1,United Kingdom(GB),0,3,Overseas enterprises,Foreign companies,"Beijing Daoda Technology Co., Ltd. bjh",Corporate,foreign-invested enterprises,0,0,1,3,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,1,0,0,2,computer software,computer software,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,social development and social services,3077920,3077920,1,1,Installment payment,04,00,no,no,no
2008110022000068,2007-12-17,365d,2008-12-16,3,1,0,1,2008,1/25/08,Pfizer Pharmaceutical Case Report Electronic Entry Management System,"Double Bridge Technologies,Inc.",,0,1,1,United States(US),0,3,Overseas enterprises,Foreign companies,"Beijing Daoda Technology Co., Ltd. bjh",Corporate,foreign-invested enterprises,0,0,1,3,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,1,0,0,2,computer software,computer software,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,other,3320550,3320550,1,1,Installment payment,04,00,no,no,no
2007110001004076,2007-11-29,365d,2008-11-28,2,1,0,1,2007,12/12/07,TV2000C set-top box product commissioned research and development,"NeuLion, Inc.",,0,1,1,United States(US),0,3,Overseas enterprises,Foreign companies,"Beijing Chuanshi Digital Technology Co., Ltd. bjj",Corporate,foreign-invested enterprises,1,0,0,2,Foreign companies,"Information transmission, computer services and software industry",1,Electronics and Information Technology,Digital audio and video technology,0,1,0,3,technical secrets,technical secrets,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,social development and social services,3700000,3700000,1,1,Installment payment,01,00,no,no,no
2007110032008661,2007-06-12,507d,2008-10-31,8,1,0,1,2007,6/12/07,Test management tool DevTest,TechExcel,,0,1,1,United States(US),0,3,Overseas enterprises,Foreign companies,"Beijing Texel Software Co., Ltd.",Corporate,foreign-invested enterprises,0,0,1,1,Sino-foreign joint venture,"Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,1,0,0,2,computer software,computer software,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,development of knowledge,4206125,4206125,1,1,Installment payment,01,00,no,no,no
2006110039000016,2006-02-10,365d,2007-02-10,8,1,0,1,2006,6/29/06,All-in-one IT service help desk,TechExcel,,0,1,1,United States(US),0,3,Overseas enterprises,Foreign companies,"Beijing Texel Software Co., Ltd.bbq",Corporate,foreign-invested enterprises,0,0,1,1,Sino-foreign joint venture,"Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,1,0,0,2,computer software,computer software,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,development of knowledge,4640000,4598864,1,1,Installment payment,01,00,no,no,no
2006110032019357,2006-12-01,486d,2008-03-31,8,1,0,1,2006,12/5/06,Multifunctional knowledge base platform,TechExcel,,0,1,1,United States(US),0,3,Overseas enterprises,Foreign companies,"Beijing Texel Software Co., Ltd.",Corporate,foreign-invested enterprises,0,0,1,1,Sino-foreign joint venture,"Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,1,0,0,2,computer software,computer software,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,development of knowledge,4960000,4960000,1,3,commission payment,01,00,no,no,no
2007110032016475,2007-02-01,333d,2007-12-31,2,1,0,1,2007,11/13/07,Development of protective technology for cash transport vehicles in Russia,JOHNSON SECURITY LTD,,0,1,1,United Kingdom(GB),0,3,Overseas enterprises,Foreign companies,"Beijing Siwei Hengtong Technology Development Co., Ltd. bjj",Corporate,foreign-invested enterprises,0,0,1,1,Sino-foreign joint venture,manufacturing,0,Advanced Manufacturing Technology,Automation machinery and equipment technology,0,1,0,3,technical secrets,technical secrets,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,social development and social services,5250000,5250000,0,2,One time payment,01,00,no,no,no
