name of the buyer,paystyle
"Beijing Wuzunwu Technology Development Co., Ltd.",2
"Beijing Wuzunwu Technology Development Co., Ltd.",2
"Beijing Wuzunwu Technology Development Co., Ltd.",2
"Shanghai Chenlu Information Technology Co., Ltd.",2
"Guangzhou Youzhiyi Information Technology Co., Ltd.",2
"Beijing Zhuoyu Interactive Technology Co., Ltd.",2
"Beijing Lianxinsuo Technology Development Co., Ltd.",2
"Shenzhen Hanshiway Technology Co., Ltd.",2
"Shanghai Shizhi Advertising Co., Ltd.",1
"Beijing Jingshi Economic View Advertising Co., Ltd.",1
"Beijing Pengtai Interactive Technology Co., Ltd.",2
"Guangzhou Weekend Tour Guide Television Network Co., Ltd.",2
"Beijing Baiyi Technology Co., Ltd.",2
"Beijing Sengen Technology Co., Ltd.",2
"Shanghai Daowei Investment Consulting Co., Ltd.",2
"Zhuhai Zhongdaxin Network Technology Co., Ltd.",1
"Beijing Yiow Network Technology Co., Ltd.",2
"Shanghai Huaqianshu Information Technology Co., Ltd. Beijing Branch",2
"Shanghai Huaqianshu Information Technology Co., Ltd. Beijing Branch",2
"Shanghai Huaqianshu Information Technology Co., Ltd. Beijing Branch",2
"Shanghai Huaqianshu Information Technology Co., Ltd. Beijing Branch",2
"Shanghai Huaqianshu Information Technology Co., Ltd. Beijing Branch",2
"Shanghai Huaqianshu Information Technology Co., Ltd. Beijing Branch",2
"Shanghai Huaqianshu Information Technology Co., Ltd. Beijing Branch",2
"Fujian CICC Online Network Co., Ltd.",2
"Fujian CICC Online Network Co., Ltd.",2
"Fujian CICC Online Network Co., Ltd.",2
"Fujian CICC Online Network Co., Ltd.",2
"Shanghai Huaqianshu Information Technology Co., Ltd.",2
"Shanghai Huaqianshu Information Technology Co., Ltd.",2
"Shanghai Huaqianshu Information Technology Co., Ltd.",2
"Shanghai Huaqianshu Information Technology Co., Ltd.",2
"Shanghai Shibiyou Information Technology Co., Ltd.",2
"Beijing Lianxinsuo Technology Development Co., Ltd.",2
"Beijing Youspace Technology Co., Ltd.",2
"Shenzhen Colorful Valley Information Technology Development Co., Ltd. Beijing Branch",2
"Fuzhou Xinchi Interactive Network Co., Ltd.",2
"Fuzhou CICC Online Network Technology Co., Ltd.",2
"Beijing Gaowei Xincheng Information Co., Ltd.",2
"Beijing Pengtai Interactive Technology Co., Ltd.",2
"Beijing Pengtai Interactive Technology Co., Ltd.",2
"Fuzhou Dima Network Technology Co., Ltd.",2
"Shanghai Xiulin Network Technology Co., Ltd.",2
"Beijing Paike.com Information Technology Co., Ltd.",1
"Beijing Wuba Information Technology Co., Ltd.",1
"Beijing Jimei Home Furnishing Market Group Co., Ltd.",2
"Beijing Sixuepu Information Technology Co., Ltd.",2
"Beijing Sixuepu Information Technology Co., Ltd.",2
"Beijing Sixuepu Information Technology Co., Ltd.",2
"Hangzhou Wangfa Network Information Technology Co., Ltd.",1
"Beijing Yihuaming Health Technology Co., Ltd.",2
"Beijing Yihuaming Health Technology Co., Ltd.",2
"Beijing Wanchuang Online Technology Development Co., Ltd.",2
"Beijing Dongyi Time Network Technology Co., Ltd.",2
"Shanghai Aosheng Business Consulting Co., Ltd.",2
"Jinmeirui (Beijing) Advertising Co., Ltd.",2
"Vancl Eslite (Beijing) Technology Co., Ltd.",2
"Beijing Baiyi Technology Co., Ltd.",2
"Beijing Baiyi Technology Co., Ltd.",2
"Pocket Aviation Service (Beijing) Co., Ltd.",2
"Pocket Aviation Service (Beijing) Co., Ltd.",2
"Pocket Aviation Service (Beijing) Co., Ltd.",2
"Pocket Aviation Service (Beijing) Co., Ltd.",2
"Pocket Aviation Service (Beijing) Co., Ltd.",2
"Pocket Aviation Service (Beijing) Co., Ltd.",2
"Pocket Aviation Service (Beijing) Co., Ltd.",2
"Pocket Aviation Service (Beijing) Co., Ltd.",2
"Pocket Aviation Service (Beijing) Co., Ltd.",2
"Beijing Dikang Jinchuang Technology Development Co., Ltd.",1
"Beijing Feixiangren Information Technology Co., Ltd.",2
"Beijing Baiyi Technology Co., Ltd.",2
"Beijing Jiucheng Port Software Technology Co., Ltd.",2
"Beijing Jiucheng Port Software Technology Co., Ltd.",2
"Beijing Jiucheng Port Software Technology Co., Ltd.",2
"Beijing Jiucheng Port Software Technology Co., Ltd.",2
shares,1
"Beijing Zhuoyu Interactive Technology Co., Ltd.",2
"Shanghai Chenlu Information Technology Co., Ltd.",2
"Shenzhen Catwalk Network Technology Co., Ltd.",2
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
"Hanhai Information Technology (Shanghai) Co., Ltd.",2
"Hanhai Information Technology (Shanghai) Co., Ltd.",2
"Hanhai Information Technology (Shanghai) Co., Ltd.",2
"Hanhai Information Technology (Shanghai) Co., Ltd.",2
"China Construction Bank Co., Ltd. Xiamen Branch",1
"Beijing Chinese Online Culture Development Co., Ltd.",2
"Beijing Boss Kitchen and Bathroom Furniture Co., Ltd.",1
"Shanghai Boyu Culture Communication Co., Ltd.",1
"Beijing Aoland Information Technology Co., Ltd.",3
"Beijing Yike Wood Products Co., Ltd.",1
"Beijing Wuba Information Technology Co., Ltd.",2
"Shanghai Venus Sanitary Ware Co., Ltd. Beijing Branch",1
"Beijing Youshi Brothers Technology and Trade Co., Ltd.",1
Beijing Jiahe Wanshixing Cabinet Processing Factory,1
"Wuxi Wicked Information Technology Co., Ltd.",2
"Xiamen Zhongyuan Network Services Co., Ltd.",1
"Beijing Kufen Network Technology Co., Ltd.",1
"Beijing Feixiangren Information Technology Co., Ltd.",2
Beijing Zhengtianhua Advertising Company,2
"Beijing Feixiangren Information Technology Co., Ltd.",2
"Yilong.com Information Technology (Beijing) Co., Ltd.",1
Agricultural Bank of China Shenzhen Branch,1
"Agricultural Bank of China Co., Ltd. Shenzhen Branch",1
"Agricultural Bank of China Co., Ltd. Shenzhen Branch",1
Shenzhen Development Bank,2
"Bank of Qinghai Co., Ltd.",1
Jiangsu Federation of Rural Credit Cooperatives,2
"Jinchuan Yue (Beijing) Trading Co., Ltd.",1
"Beijing Siyuan Software Co., Ltd.",2
"Beijing Rising International Software Co., Ltd.",2
"Beijing Yingfumei Software Co., Ltd.",2
Beijing Jiuxing Jianuo Furniture Factory,1
"Beijing Noahjia Household Products Co., Ltd.",1
Shanghai Pudong Development Bank Shanghai Branch,1
"Sankeshu Paint Co., Ltd.",1
"Beijing Feixiangren Information Technology Co., Ltd.",2
"Beijing Yiqifa Network Technology Co., Ltd.",1
"Taizhou Jingye Electronic Information Engineering Co., Ltd.",2
"Bank of Communications Co., Ltd. Fujian Branch",1
"China Construction Bank Co., Ltd. Xiamen Branch",1
Beijing Chengwaicheng Home Plaza,1
"Beijing Home Easy Station Technology Co., Ltd.",2
"Beijing Hexun Online Information Consulting Service Co., Ltd.",2
"Fujian CICC Online Network Co., Ltd.",1
"Huaxia Shuanglong (Beijing) Network Technology Co., Ltd.",1
"Huaxia Shuanglong (Beijing) Network Technology Co., Ltd.",1
"Shanghai Shibiyou Information Technology Co., Ltd.",1
"Guangzhou Hanyin Network Technology Co., Ltd.",2
"Beijing Ruibaite Network Technology Co., Ltd.",2
"Beijing Quansou Advertising Co., Ltd.",2
"Xinyang Commercial Bank Co., Ltd.",1
"Lekante Health Technology (Beijing) Co., Ltd.",1
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
Bank of China Limited,1
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
"Agricultural Bank of China Co., Ltd. Shenzhen Branch",1
"Agricultural Bank of China Co., Ltd. Shenzhen Branch",1
"Beijing Lehua Juncheng Building Materials Co., Ltd.",1
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
Guiyang Commercial Bank,2
"China Construction Bank Co., Ltd. Xinyang Branch",1
"Liansou International Advertising (Beijing) Co., Ltd.",2
"Beijing Yaguangya Decoration Engineering Co., Ltd.",1
"Beijing Guoyuan Wanwei Information Technology Co., Ltd.",2
"Beijing Aoke Biotechnology Co., Ltd.",1
"Shanghai Haoli Investment Management Co., Ltd.",2
"Nanchang Yilian Technology Co., Ltd.",2
"Shanghai Qingu Network Technology Co., Ltd.",1
"Beijing Sixuepu Information Technology Co., Ltd.",1
"Guangdong Development Bank Co., Ltd.",1
"Beijing Feixiangren Information Technology Co., Ltd.",1
"Bank of China Co., Ltd. Beijing Branch",1
"Bank of Chengdu Co., Ltd.",1
"Guangdong Development Bank Co., Ltd.",1
Shanghai Rural Commercial Bank,2
Shenzhen Development Bank,1
"Daqing Commercial Bank Co., Ltd.",1
"Beijing University of Technology Zhiyuan Technology Development Co., Ltd.",2
"Xianghe Furniture City Property Management Co., Ltd. First Branch",1
"Huatai Property Insurance Co., Ltd.",1
"Beijing Zhongguang Interactive Advertising Co., Ltd.",2
"Beijing Hanyang Tiandi Advertising Co., Ltd.",1
"Beijing Gaoshili International Lighting Market Co., Ltd.",1
"Guohua Life Insurance Co., Ltd.",1
"Beijing Tiankailibang Trading Co., Ltd.",1
"Beijing Anke Internet Software Development Co., Ltd.",1
"Beijing Zhongmian Machinery Complete Equipment Co., Ltd.",1
Agricultural Bank of China Shenzhen Branch,2
Agricultural Bank of China Shenzhen Branch,1
Henan Federation of Rural Credit Cooperatives,1
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
"Agricultural Bank of China Co., Ltd. Shenzhen Branch",1
Agricultural Bank of China Shenzhen Branch,1
"Hua Xia Bank Co., Ltd.",1
"Guangdong Development Bank Co., Ltd.",1
HSBC Bank,2
"China Construction Bank Co., Ltd. Xiamen Branch",1
"Shangqiu Commercial Bank Co., Ltd.",1
"Beijing Chinese Online Culture Development Co., Ltd.",2
"Shanghai Yicai Network Technology Co., Ltd.",1
"Quanzhou Commercial Bank Co., Ltd.",1
"Beijing Honghuzhi Software Technology Co., Ltd.",1
Taicang Rural Commercial Bank,1
"Beijing Wanwangzhicheng Technology Co., Ltd. Chengdu Branch",2
Agricultural Bank of China Shenzhen Branch,1
"Guangdong Development Bank Co., Ltd.",1
Agricultural Bank of China Shenzhen Branch,1
"Agricultural Bank of China Co., Ltd. Shenzhen Branch",1
"Beijing Tengxin Interactive Advertising Co., Ltd.",1
"Beijing Totem Baojia Furniture Co., Ltd.",1
Bank of China Limited,1
"Beijing Zhengtianhua Advertising Co., Ltd.",2
"CICC Online Network Technology Co., Ltd.",1
Hunan Federation of Rural Credit Cooperatives,1
"Tai Chi Computer Co., Ltd.",1
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
"Bank of China Co., Ltd. Beijing Branch",1
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
"Agricultural Bank of China Co., Ltd. Shenzhen Branch",1
"Agricultural Bank of China Co., Ltd. Shenzhen Branch",1
"Agricultural Bank of China Co., Ltd. Shenzhen Branch",1
"Mefit (Beijing) Paint Co., Ltd.",1
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
Shanghai Rural Commercial Bank,1
"Sanwu Internet Technology Co., Ltd.",1
"Shenzhen Cyber Power Technology Co., Ltd.",1
"Huaxia Life Insurance Co., Ltd.",1
"Guangzhou Ziyuan Information Technology Co., Ltd.",1
"Bank of Communications Co., Ltd. Fujian Branch",1
"China Construction Bank Co., Ltd. Guangxi Zhuang Autonomous Region Branch",1
Quanzhou Bank,1
"Beijing University of Technology Zhiyuan Technology Development Co., Ltd.",2
"Beijing Tianxindao Technology Development Co., Ltd.",1
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
"China Construction Bank Co., Ltd. Beijing Branch",1
"Zhangjiakou Commercial Bank Co., Ltd.",1
"Zhangjiakou Commercial Bank Co., Ltd.",1
"Harbin Bank Co., Ltd.",1
Guangdong Federation of Rural Credit Cooperatives,1
Weihai Commercial Bank,2
"Hangzhou Bank Co., Ltd.",1
"Sino-German Housing Savings Bank Co., Ltd.",1
Shijiazhuang Commercial Bank,2
"Xiamen Commercial Bank Co., Ltd.",2
"Anyang Commercial Bank Co., Ltd.",1
"Bank of Guiyang Co., Ltd.",2
"Bank of Guiyang Co., Ltd.",2
"Beijing Huicong International Information Co., Ltd.",1
Jinshang Bank,1
"ICBC Credit Suisse Fund Management Co., Ltd.",2
"Chongqing Three Gorges Bank Co., Ltd.",1
"Anhui Maanshan Rural Commercial Bank Co., Ltd.",1
Xinjiang Huihe Bank,1
"Hengshui Commercial Bank Co., Ltd.",1
"Bank of Xi'an Co., Ltd.",1
"Beijing Derun Industry and Trade Co., Ltd.",1
"Huatai Property Insurance Co., Ltd.",1
"Tianjin Zhongke Remote Sensing Information Technology Co., Ltd.",2
"Agricultural Bank of China Co., Ltd. Xiamen Branch",1
"Guangdong Development Bank Co., Ltd.",1
Shanghai Rural Commercial Bank,1
"Bank of Ningbo Co., Ltd.",2
"China Construction Bank Co., Ltd. Beijing Branch",1
Bank of China Limited,2
"Beijing Zhikong Meixin Information Technology Co., Ltd.",1
"Bank of China Co., Ltd. Beijing Branch",1
Beijing Rural Commercial Bank,1
"Bank of China Limited, Macau Branch",2
"Quanzhou Commercial Bank Co., Ltd.",2
Agricultural Bank of China Shenzhen Branch,1
"Deyang Commercial Bank Co., Ltd.",1
Weihai Commercial Bank,1
"Business Department, Head Office of China CITIC Bank Co., Ltd.",1
"Bank of China Co., Ltd. Beijing Branch",1
Huishang Bank,1
"Bank of Shanghai Co., Ltd.",1
Shanghai Rural Commercial Bank,2
China Everbright Bank,1
"Jiangsu Wujiang Rural Commercial Bank Co., Ltd.",1
"Nanchang Bank Co., Ltd.",1
Beijing Rural Commercial Bank,2
HSBC Bank,1
Quanzhou Commercial Bank,1
"China-Singapore Great Eastern Life Insurance Co., Ltd.",1
"Beijing University of Technology Zhiyuan Technology Development Co., Ltd.",2
"China-Singapore Great Eastern Life Insurance Co., Ltd.",1
"Shin Kong Life Insurance Co., Ltd.",1
"Shenzhen Rural Commercial Bank Co., Ltd.",1
"Shenzhen Rural Commercial Bank Co., Ltd.",2
Shenzhen Rural Commercial Bank,1
"Beijing Jingguang Huayi Venture Decoration Co., Ltd.",1
"Beijing Lijia Meiju Building Materials Co., Ltd.",1
"Zhejiang Aohua Electric Co., Ltd. Beijing Operation Center",1
Bank of Jiangsu Wuxi Branch,1
Bank of Jiangsu Zhenjiang Branch,1
Taishan Rural Credit Cooperatives Federation,1
"Beijing Taihua Jinze Trading Co., Ltd.",1
"China UnionPay Co., Ltd.",1
"Beijing Hengbang Kaijie Radiator Co., Ltd.",1
"Beijing Saiyishi Decoration Materials Co., Ltd.",1
"Beijing Ruiyuan Aige Decoration Materials Co., Ltd.",1
"China Construction Bank Co., Ltd. Qinghai Provincial Branch",1
Bank of China Limited,1
"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch",1
"Beijing Anju Yiyuan Industry and Trade Co., Ltd.",1
"Beijing Handong Economic and Trade Co., Ltd.",1
"Beijing China Enterprise Power Business Information Co., Ltd.",1
"Beijing Zhikong Meixin Information Technology Co., Ltd.",1
"Bank of Quanzhou Co., Ltd.",1
"Zhengzhou Commercial Bank Co., Ltd.",1
