amount,name of the buyer,location of the buyer,if the buyer is a bank,the buyer's country,if the buyer is a chinese organization,if the seller belongs to IT industry,if the outcome is a patent,if the outcome is a know-hnw,if the outcome with no IP,knowstyle,if the project is a R&D mission,if the project is a technical consultation,if the project is an IP exchange,Turnover,money,payment method
3,"Pasco Systems Division, Co., Ltd.",,0,Japan(JP),0,1,1,0,0,2,1,0,0,53528.67,53528.67,One time payment
2,"Bosco Co., Ltd.",,0,Japan(JP),0,1,0,0,1,1,1,0,0,170485,170485,One time payment
2,"Tokyo Digital Map Co., Ltd.",,0,Japan(JP),0,1,0,0,1,1,1,0,0,284900,284900,Installment payment
3,"Pasco Systems Division, Co., Ltd.",,0,Japan(JP),0,1,1,0,0,2,1,0,0,310000,310000,One time payment
1,"PASCO Co., Ltd. Strategic Planning Department",,0,Japan(JP),0,1,1,0,0,2,1,0,0,315000,315000,One time payment
2,"Pasco Research and Development Center Co., Ltd.",,0,Japan(JP),0,1,1,0,0,2,1,0,0,470000,470000,Installment payment
1,"DeNA Co., Ltd.",,0,Japan(JP),0,1,0,1,0,3,0,0,1,527100,527100,One time payment
1,3D Data conversion tool technology development,,0,Japan(JP),0,1,1,0,0,2,1,0,0,550000,550000,One time payment
2,"Bosco Co., Ltd.",,0,Japan(JP),0,1,0,0,1,1,1,0,0,681714,681714,One time payment
3,"PASCO System Division, Co., Ltd.",,0,Japan(JP),0,1,1,0,0,2,1,0,0,700000,700000,Installment payment
1,"PASCO Co., Ltd. Disaster Prevention Technology Department",,0,Myanmar(MM),0,1,1,0,0,2,1,0,0,805600,805600,Installment payment
1,Bosco Technology General Headquarters Remote Sensing Technology Department,,0,Japan(JP),0,1,0,0,1,1,1,0,0,966000,966000,Installment payment
2,"PASCO Research and Development Center Co., Ltd.",,0,Japan(JP),0,1,1,0,0,2,1,0,0,1170000,1170000,Installment payment
2,"Tokyo Digital Map Co., Ltd.",,0,Japan(JP),0,1,0,0,1,1,1,0,0,1209222,1209222,One time payment
1,"PASCO Co., Ltd. International Strategy Office",,0,Japan(JP),0,1,1,0,0,2,1,0,0,1344000,1344000,Installment payment
1,"GameHub Incorporated(Game Hub Co., Ltd.)",,0,Europe Others,0,1,1,0,0,2,1,0,0,1561740,1561740,Installment payment
4,Hinge Global Resources Inc.,,0,United States(US),0,1,1,0,0,2,1,0,0,2957046,2957046,Installment payment
3,"Double Bridge Technologies,Inc.",,0,United States(US),0,1,1,0,0,2,1,0,0,3008880,3008880,Installment payment
4,Hinge Global Resources Inc.,,0,United Kingdom(GB),0,1,1,0,0,2,1,0,0,3077920,3077920,Installment payment
3,"Double Bridge Technologies,Inc.",,0,United States(US),0,1,1,0,0,2,1,0,0,3320550,3320550,Installment payment
2,"NeuLion, Inc.",,0,United States(US),0,1,0,1,0,3,1,0,0,3700000,3700000,Installment payment
8,TechExcel,,0,United States(US),0,1,1,0,0,2,1,0,0,4206125,4206125,Installment payment
8,TechExcel,,0,United States(US),0,1,1,0,0,2,1,0,0,4640000,4598864,Installment payment
8,TechExcel,,0,United States(US),0,1,1,0,0,2,1,0,0,4960000,4960000,commission payment
2,JOHNSON SECURITY LTD,,0,United Kingdom(GB),0,0,0,1,0,3,1,0,0,5250000,5250000,One time payment
2,JOHNSON SECURITY LTD,,0,United Kingdom(GB),0,0,0,1,0,3,1,0,0,5771641.5,5771641.5,One time payment
19,Analogix International,other,0,United States(US),0,0,0,1,0,3,1,0,0,6480000,6480000,Installment payment
19,"Analogix International, Inc",,0,United States(US),0,0,0,1,0,3,1,0,0,6600000,6600000,Installment payment
19,Analogix International,other,0,United States(US),0,0,1,0,0,2,1,0,0,6829100,6829100,Installment payment
19,Analogix International,other,0,United States(US),0,0,1,0,0,2,1,0,0,6829100,6829100,Installment payment
19,Analogix International,other,0,United States(US),0,0,1,0,0,2,1,0,0,6829100,6829100,Installment payment
19,"Analogix International, Inc",,0,United States(US),0,0,0,1,0,3,1,0,0,7992000,7992000,Installment payment
2,"NeuLion, Inc. (New Poetry Co., Ltd.)",,0,United States(US),0,1,1,0,0,2,1,0,0,8000000,8000000,Installment payment
8,"TechExcel, Inc. (Texel Corporation of the United States)",,0,United States(US),0,1,1,0,0,2,1,0,0,8601894,8601894,commission payment
8,TechExcel,other,0,United States(US),0,1,1,0,0,2,1,0,0,8818053,8818053,commission payment
8,TechExcel,,0,United States(US),0,1,1,0,0,2,1,0,0,9344412,9344412,Installment payment
8,"TechExcel, Inc. (Texel Corporation of the United States)",,0,United States(US),0,1,1,0,0,2,1,0,0,9468976,9468976,commission payment
8,TechExcel,,0,United States(US),0,1,1,0,0,2,1,0,0,9600000,9558864,Installment payment
19,Analogex International,,0,United States(US),0,0,0,1,0,3,1,0,0,9581040,9581040,Installment payment
9,International Business Machines Corporation,,0,United States(US),0,0,0,1,0,3,1,0,0,147362000,147362000,One time payment
9,International Business Machines Corporation,,0,United States(US),0,0,0,1,0,3,1,0,0,188600000,188600000,One time payment
9,International Business Machines Corporation,,0,United States(US),0,0,0,1,0,3,1,0,0,260000000,260000000,One time payment
9,International Business Machines Corporation,,0,United States(US),0,0,0,1,0,3,1,0,0,1000000000,1000000000,commission payment
9,International Business Machines Corporation,other,0,United States(US),0,0,0,1,0,3,1,0,0,1400000000,1400000000,commission payment
9,International Business Machines Corporation,,0,United States(US),0,0,0,1,0,3,1,0,0,1453400000,1453400000,commission payment
9,International Business Machines Corporation,,0,United States(US),0,0,1,0,0,2,1,0,0,1634568610,1634568610,commission payment
2,Guangxi Zhuang Autonomous Region Remote Sensing Center,Guangxi Zhuang Autonomous Region,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,33000,30000,One time payment
7,National Disaster Reduction Center of the Ministry of Civil Affairs,Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,51750,51750,One time payment
1,Hunan Provincial Geological Environment Monitoring Station,Hunan Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,57000,57000,One time payment
1,Chengdu Institute of Geology and Mineral Resources,Sichuan Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,66700,66700,Installment payment
1,Hubei Province Jingzhou Center for Disease Control and Prevention,hubei province,0,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,80000,80000,One time payment
7,National Disaster Reduction Center of the Ministry of Civil Affairs,Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,90000,90000,One time payment
7,National Disaster Reduction Center of the Ministry of Civil Affairs,Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,93150,93150,One time payment
1,"Institute of Agricultural Resources and Agricultural Zoning, Chinese Academy of Agricultural Sciences",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,100000,100000,One time payment
1,"Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences",Guangdong Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,104000,104000,One time payment
1,Fujian Geological Surveying and Mapping Institute,Fujian Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,112320,112320,One time payment
1,Liaoning Provincial Water Conservancy and Hydropower Survey and Design Institute,Liaoning Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,120000,120000,Installment payment
1,Anhui Electric Power Design Institute,Anhui Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,129300,129300,Installment payment
2,Jiangsu Provincial Institute of Surveying and Mapping Engineering,Jiangsu Province,0,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,130000,130000,One time payment
1,Anhui Geological Survey Institute,Anhui Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,148700,148700,One time payment
1,"State Forestry Administration Survey, Planning and Design Institute",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,172500,172500,Installment payment
1,"Institute of Mineral Resources, Chinese Academy of Geological Sciences",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,174700,174700,Installment payment
7,National Disaster Reduction Center of the Ministry of Civil Affairs,Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,200000,200000,One time payment
1,China National Petroleum Corporation Science and Technology Research Institute,Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,207000,207000,One time payment
2,Chinese Academy of Sciences China Remote Sensing Satellite Ground Station,Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,228998.34,228998.34,One time payment
2,Jiangsu Provincial Bureau of Surveying and Mapping,Jiangsu Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,240000,240000,Installment payment
2,Guangxi Zhuang Autonomous Region Remote Sensing Center,Guangxi Zhuang Autonomous Region,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,281700,281700,Installment payment
1,National Satellite Ocean Application Center,Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,300000,300000,One time payment
3,"Center for Earth Observation and Digital Earth Science, Chinese Academy of Sciences",Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,312260.33,312260.33,One time payment
1,"Institute of Geographic Sciences and Natural Resources, Chinese Academy of Sciences",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,315500,315500,Installment payment
1,Jiangsu Provincial Environmental Monitoring Center,Jiangsu Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,347220,347220,Installment payment
7,National Disaster Reduction Center of the Ministry of Civil Affairs,Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,350000,350000,Installment payment
1,Chinese Academy of Sciences China Remote Sensing Satellite Ground Station,Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,356318.3,356318.3,One time payment
3,"Center for Earth Observation and Digital Earth Science, Chinese Academy of Sciences",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,359000,359000,One time payment
2,Jiangsu Provincial Institute of Surveying and Mapping Engineering,Jiangsu Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,479882,479882,Installment payment
2,Chinese Academy of Sciences China Remote Sensing Satellite Ground Station,Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,512756.84,512756.84,One time payment
7,National Disaster Reduction Center of the Ministry of Civil Affairs,Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,690000,690000,Installment payment
1,China Urban Planning and Design Institute,Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,1200000,1200000,Installment payment
3,"Center for Earth Observation and Digital Earth Science, Chinese Academy of Sciences",Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,1241600,1241600,Installment payment
1,Office of the National Disaster Risk Reduction Council,Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,3480000,3480000,Installment payment
6,"Shanghai Chenlu Information Technology Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,0,0,commission payment
6,"Shanghai Chenlu Information Technology Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,0,0,commission payment
4,"Beijing Yisheng Health E-Commerce Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,0,0,commission payment
4,"Shanghai Qingu Network Technology Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,0,0,commission payment
4,"Shanghai Qingu Network Technology Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,0,0,commission payment
3,"Hangzhou Wangfa Network Information Technology Co., Ltd.",Zhejiang Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,0,0,commission payment
3,"Hangzhou Wangfa Network Information Technology Co., Ltd.",Zhejiang Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,0,0,commission payment
2,"Huizhou Qiaoxing Telecommunications Industry Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,1,0,1,0,3,0,0,1,0,0,commission payment
2,"Huizhou Qiaoxing Telecommunications Industry Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,1,0,1,0,3,0,0,1,0,0,commission payment
2,"Beijing Pocket Network Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,0,0,commission payment
2,"Beijing Hexun Online Information Consulting Service Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,0,0,commission payment
2,"Beijing Qianoak Internet Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,0,0,commission payment
2,"Beijing Zhichi Power Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,0,0,commission payment
2,"Hangzhou Pantone Network Technology Co., Ltd.",Zhejiang Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,0,0,commission payment
2,"Shenzhen Caixun Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,0,0,commission payment
1,"Beijing Zhongwang Online Advertising Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,0,0,commission payment
1,"Beijing Jufang Advertising Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,0,0,commission payment
1,"Beijing Fengli Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,0,0,commission payment
1,"Beijing Wanxuntong Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,0,0,commission payment
1,"Guangzhou Aochuang Information Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,0,0,commission payment
1,"Beijing Fengxing Online Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,0,0,commission payment
1,"Shenzhen Tiance Interactive Advertising Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,0,0,commission payment
1,"Beijing Fengyang Tianlang Advertising Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,1,0,3,1,0,0,0,0,commission payment
1,"Beijing Xinrui Guangguang Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,0,0,commission payment
1,"Beijing Zhitong Wuxian Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,0,0,commission payment
1,"Shanghai Freex Network Technology Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,0,0,commission payment
1,"Hangzhou Ali Technology Co., Ltd.",Zhejiang Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,0,0,commission payment
1,"Chongqing Xingge Network Technology Co., Ltd.",Chongqing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,0,0,Installment payment
1,"Beijing Kunlun Wanwei Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,0,0,commission payment
1,"Shanghai Shangpai Network Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,0,0,commission payment
1,"Shanghai Eos Network Technology Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,0,0,commission payment
1,"Beijing Hongfan Netshen Data Network Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,0,0,commission payment
1,"Beijing Sohu Donglin Advertising Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,0,1,0,0,0,commission payment
6,"Hangzhou Dayi Business Network Co., Ltd.",Zhejiang Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,1000,1000,One time payment
6,"Hangzhou Dayi Business Network Co., Ltd.",Zhejiang Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,1000,1000,commission payment
3,"Guangzhou Youzhiyi Information Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,1000,1000,One time payment
5,"Shenzhen Beautiful Alliance Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,1260,1260,One time payment
1,"Beijing Quna Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,1500,1500,One time payment
1,"Huizhou Yixun Information Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,1500,1500,One time payment
1,"Shanghai Xixun Media Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,1600,1600,One time payment
1,"Qile Wuxian (Beijing) Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,1600,1600,One time payment
6,"Hangzhou Dayi Business Network Co., Ltd.",Zhejiang Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2000,2000,One time payment
6,"Hangzhou Dayi Business Network Co., Ltd.",Zhejiang Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2000,2000,One time payment
3,"Xiamen Yigao Network Technology Co., Ltd.",Fujian Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2000,2000,One time payment
3,"Xiamen Yigao Network Technology Co., Ltd.",Fujian Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2000,2000,One time payment
3,"Xiamen Yigao Network Technology Co., Ltd.",Fujian Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2000,2000,One time payment
3,"Changzhou Dongyuan Textile Printing and Dyeing Co., Ltd.",Jiangsu Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2000,2000,commission payment
3,"Changzhou Dongyuan Textile Printing and Dyeing Co., Ltd.",Jiangsu Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2000,2000,commission payment
1,"Beijing Chuangshi Miracle Advertising Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2000,2000,One time payment
1,"Zhengzhou Jiji Information Technology Co., Ltd.",Henan Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2000,2000,One time payment
1,"Beijing Tiantian Kuangguang Network Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2000,2000,One time payment
1,"Chongqing Discourse Technology Co., Ltd.",Chongqing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2000,2000,commission payment
1,"Beijing Tianwei Integrity E-Commerce Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2000,2000,One time payment
20,"Beijing Wanwei Sky Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2250,2250,commission payment
1,"Shenzhen Baiyi Information Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2400,2400,One time payment
1,Beijing Bai Ruide Kitchen Cabinet Factory,Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,0,1,0,2400,2400,One time payment
1,Beijing Construction Timber Factory,Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,0,1,0,2400,2400,One time payment
5,"Shenzhen Beautiful Alliance Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2520,2520,One time payment
5,"Shenzhen Beautiful Alliance Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2520,2520,One time payment
5,"Shenzhen Beautiful Alliance Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2520,2520,One time payment
20,"Beijing Wanwei Sky Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2700,2700,One time payment
20,"Beijing Wanwei Sky Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2700,2700,One time payment
20,"Beijing Wanwei Sky Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2700,2700,One time payment
20,"Beijing Wanwei Sky Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2700,2700,One time payment
2,Anhui Paimeng Investment Group,Anhui Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2700,2700,One time payment
2,"Nanjing Xiangwang Network Technology Co., Ltd.",Jiangsu Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2700,2700,One time payment
2,"Nanjing Xiangwang Network Technology Co., Ltd.",Jiangsu Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2700,2700,commission payment
1,"Beijing Ruibo Yangxin International Culture Media Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2700,2700,One time payment
1,"Emeishan Tourism Co., Ltd.",Sichuan Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2888,2888,commission payment
1,"Nanning April Network Technology Co., Ltd.",Guangxi Zhuang Autonomous Region,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2888,2888,One time payment
1,Guangzhou Distance Education Center,Guangdong Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2888,2888,One time payment
1,"Beijing Dongtian Education Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2888,2888,One time payment
1,"Beijing Tangyou Advertising Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2888,2888,One time payment
1,"Suzhou Zhifu Yingxing Information Technology Co., Ltd.",Jiangsu Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2888,2888,One time payment
1,"Suzhou Junyue Travel Agency Co., Ltd.",Jiangsu Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2888,2888,One time payment
1,"Suzhou Tangren Digital Technology Co., Ltd.",Jiangsu Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2888,2888,One time payment
1,"Beijing Wanguo Fayuan Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2888,2888,One time payment
1,"Shanghai Giant Network Technology Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2888,2888,One time payment
1,"Wangda Advertising Media (Shanghai) Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2888,2888,One time payment
1,"Beijing Dixin Xintian Trading Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2888,2888,One time payment
1,"Shijian International Trading (Shanghai) Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2888,2888,One time payment
1,Jiangsu Radio and Television Station (Group) Jiangsu Radio and Television Website,Jiangsu Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,2888,2888,One time payment
8,"Beijing Wuzunwu Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,3000,3000,One time payment
2,"Beijing Guotong Kexin Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,3000,3000,One time payment
2,"Athletic World (Beijing) Network Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,3000,3000,One time payment
2,"Athletic World (Beijing) Network Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,3000,3000,One time payment
1,"Hangzhou Meike Digital Network Technology Co., Ltd.",Zhejiang Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,3000,3000,One time payment
1,"Tianjin Haidian Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,3000,3000,One time payment
1,"Beijing Absolute One Hundred Network Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,3200,3200,One time payment
1,"Beijing 103 Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,3540,3540,One time payment
1,"Beijing Xinrui Online Advertising Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,3600,3600,One time payment
4,"Beijing Yiow Network Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,4200,4200,One time payment
7,"Zhuhai Zhongdaxin Network Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,4500,4500,One time payment
1,"Weihai Hairun Textile and Garment Co., Ltd.",Shandong Province,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,4500,4500,Installment payment
